Temperaturee (°C),Heat flow (W/g)
70.0103,0.00847394
70.0106,0.00848074
70.0104,0.00848731
70.0102,0.00849137
70.0103,0.00849472
70.0111,0.00849924
70.0104,0.00850505
70.0106,0.00851098
70.0107,0.00851685
70.0112,0.00852254
70.0104,0.00852616
70.0111,0.00853227
70.0119,0.00853885
70.0128,0.00854714
70.0124,0.00855658
70.013,0.00856308
70.0122,0.00857313
70.0126,0.00858286
70.0131,0.00859286
70.0143,0.00860505
70.0152,0.00861863
70.0148,0.008632
70.0165,0.00866269
70.017,0.00872059
70.0186,0.00879744
70.0204,0.00894759
70.0216,0.00914978
70.0229,0.00950807
70.025,0.0102135
70.0269,0.0112239
70.0295,0.01277
70.0317,0.0146268
70.0343,0.0170276
70.0367,0.0192532
70.0386,0.0214682
70.042,0.0237755
70.0453,0.0262665
70.0489,0.0281077
70.0524,0.0300527
70.0582,0.0316387
70.061,0.0338724
70.0651,0.035678
70.0697,0.0380729
70.0747,0.0400621
70.0801,0.0418285
70.0851,0.043625
70.0916,0.0455238
70.0965,0.0476523
70.1025,0.0497696
70.1089,0.0520309
70.1159,0.0538964
70.1227,0.0562023
70.1295,0.058006
70.1369,0.0601269
70.1431,0.0617208
70.1519,0.063405
70.1593,0.0648843
70.1671,0.0664748
70.1758,0.0677915
70.1835,0.0690138
70.1928,0.0706002
70.2018,0.0720136
70.21,0.073225
70.2188,0.074593
70.2288,0.0756357
70.2381,0.0766339
70.2483,0.0777328
70.2581,0.0783428
70.2677,0.0789436
70.2785,0.0796916
70.2882,0.0802171
70.299,0.0807888
70.3094,0.0813251
70.32,0.0819794
70.3312,0.0824613
70.3421,0.0823153
70.3525,0.0821963
70.3637,0.0820011
70.3748,0.0819883
70.3867,0.08148
70.3982,0.0809221
70.4103,0.0805939
70.4215,0.0806548
70.4332,0.0802107
70.4451,0.0799564
70.4578,0.0796466
70.4687,0.07929
70.481,0.0779969
70.4935,0.0773116
70.5057,0.0765494
70.5183,0.075635
70.5307,0.0747999
70.5437,0.0743145
70.5553,0.0739441
70.5673,0.0733935
70.581,0.0727303
70.5928,0.0719258
70.6054,0.0709474
70.6183,0.0698668
70.6317,0.0686494
70.645,0.0673051
70.6576,0.0658658
70.6706,0.0645988
70.6832,0.0634858
70.6968,0.0625036
70.7097,0.061429
70.723,0.060097
70.7359,0.0587185
70.7498,0.0572981
70.7631,0.0560267
70.777,0.0541225
70.7902,0.0529424
70.8034,0.0514688
70.8174,0.0503148
70.8297,0.0490876
70.8447,0.0476446
70.8574,0.0462025
70.8714,0.0446515
70.8859,0.0435952
70.899,0.0423058
70.913,0.0410548
70.9279,0.0398195
70.9409,0.0388843
70.9551,0.037729
70.9694,0.0364864
70.9833,0.0357408
70.9977,0.0345306
71.0116,0.033339
71.0258,0.0322294
71.0397,0.0309162
71.0543,0.0298401
71.0682,0.0283936
71.0829,0.0272211
71.097,0.0259726
71.1114,0.0245951
71.1255,0.0236745
71.1409,0.0229007
71.1549,0.0218816
71.1706,0.0206384
71.1839,0.0194319
71.1984,0.0182356
71.2132,0.0171018
71.2285,0.0158086
71.2434,0.0149614
71.2582,0.0141438
71.2723,0.0134114
71.2872,0.012576
71.303,0.0116145
71.3169,0.0107602
71.3325,0.00976702
71.3466,0.00834457
71.3617,0.00715629
71.3769,0.00587271
71.3923,0.00450759
71.4072,0.00349002
71.4218,0.00272138
71.437,0.00181822
71.4524,0.000614045
71.4678,0.000140101
71.4823,-0.000781652
71.4985,-0.00171895
71.5127,-0.00290329
71.5298,-0.00367934
71.5439,-0.00481515
71.5587,-0.00554613
71.5741,-0.00622485
71.5895,-0.00721494
71.6049,-0.00839708
71.62,-0.00930912
71.636,-0.00986538
71.6514,-0.0108336
71.6661,-0.0116218
71.6825,-0.0126411
71.6965,-0.0132239
71.7127,-0.0142059
71.7281,-0.0148075
71.7437,-0.0158891
71.76,-0.0167575
71.774,-0.0177201
71.7912,-0.018251
71.8064,-0.0190136
71.8218,-0.0198066
71.8387,-0.0206625
71.8535,-0.0216038
71.8682,-0.0224386
71.8841,-0.0231788
71.9007,-0.0241077
71.9153,-0.0249104
71.9322,-0.0257564
71.948,-0.0264123
71.9641,-0.0268236
71.9794,-0.0274821
71.9952,-0.0282988
72.0112,-0.0285587
72.0275,-0.0291011
72.0419,-0.029839
72.0581,-0.0307357
72.0742,-0.0317884
72.0893,-0.0325991
72.1054,-0.0335708
72.122,-0.0344352
72.1383,-0.0348013
72.1537,-0.0354475
72.1703,-0.0357242
72.1864,-0.0362276
72.2019,-0.0365984
72.2178,-0.0372093
72.2337,-0.0377804
72.25,-0.0384557
72.2656,-0.0392829
72.2822,-0.0401923
72.2987,-0.0408133
72.3142,-0.041216
72.3308,-0.0416785
72.3463,-0.0424878
72.3625,-0.0431051
72.3784,-0.0438518
72.3952,-0.0442808
72.4109,-0.0450462
72.4269,-0.0458284
72.4426,-0.0463038
72.4588,-0.0466253
72.475,-0.0465753
72.4925,-0.0471021
72.5074,-0.0475882
