Temperaturee (°C),Heat flow (W/g)
70.0119,0.0418273
70.011,0.0418328
70.0113,0.0418351
70.0117,0.0418375
70.0118,0.0418445
70.0119,0.0418544
70.012,0.0418639
70.0121,0.0418777
70.0124,0.0418941
70.0117,0.0419045
70.0115,0.0419196
70.0122,0.0419329
70.0114,0.0419408
70.0128,0.0419456
70.0128,0.0419464
70.0134,0.0419478
70.0131,0.0419449
70.0144,0.0419438
70.0145,0.0419474
70.015,0.0419495
70.0158,0.0419557
70.0167,0.0419657
70.0167,0.0419782
70.0189,0.0420014
70.0195,0.0420984
70.0205,0.0422933
70.023,0.0426745
70.0241,0.0432699
70.0265,0.0445854
70.0273,0.046451
70.0304,0.0488822
70.0317,0.0519515
70.034,0.0554271
70.0374,0.0598829
70.0402,0.0647572
70.0437,0.0701582
70.0466,0.075658
70.0497,0.0813467
70.0536,0.0887981
70.0574,0.094956
70.0614,0.100543
70.0658,0.105239
70.0704,0.110025
70.0749,0.113976
70.0807,0.118369
70.0854,0.122246
70.0909,0.126969
70.0962,0.131009
70.1034,0.135757
70.1095,0.140826
70.1158,0.14481
70.1223,0.149863
70.1291,0.153708
70.1358,0.157646
70.1432,0.161095
70.151,0.164869
70.1579,0.168427
70.1664,0.172247
70.1746,0.174721
70.1832,0.178234
70.1913,0.18119
70.2007,0.18269
70.2081,0.185723
70.2182,0.188084
70.2273,0.189473
70.2369,0.190578
70.2461,0.19285
70.2561,0.19342
70.2653,0.194357
70.2749,0.194319
70.2854,0.194802
70.2959,0.194455
70.3065,0.195167
70.3167,0.195739
70.3279,0.196074
70.3381,0.195558
70.349,0.194901
70.3609,0.193919
70.3718,0.193383
70.3831,0.192686
70.3954,0.191919
70.4058,0.191249
70.4178,0.187026
70.4282,0.184839
70.441,0.182986
70.4521,0.181643
70.4639,0.180328
70.4765,0.179094
70.4892,0.17805
70.5007,0.177209
70.5129,0.176164
70.5247,0.174565
70.5374,0.172717
70.5501,0.170378
70.5616,0.167622
70.5746,0.164223
70.5873,0.160856
70.6003,0.157789
70.6127,0.154737
70.6254,0.150423
70.6389,0.145521
70.6514,0.140336
70.6649,0.135213
70.6768,0.129377
70.6911,0.124663
70.7037,0.120172
70.7177,0.11566
70.7306,0.112475
70.7443,0.110126
70.757,0.106597
70.7711,0.102759
70.7843,0.098629
70.7966,0.0946856
70.8106,0.0908935
70.8246,0.0867263
70.8388,0.082447
70.8525,0.0790712
70.8668,0.076004
70.8799,0.0731325
70.8936,0.0705856
70.9076,0.0670689
70.9217,0.0640693
70.9352,0.0607573
70.9501,0.0582506
70.9634,0.0555214
70.9779,0.0512448
70.9929,0.0482658
71.0062,0.0457539
71.0197,0.0430709
71.0347,0.0393873
71.0492,0.0362073
71.0633,0.0322097
71.0766,0.028886
71.0926,0.0255324
71.1072,0.0234606
71.1211,0.0198368
71.1358,0.0161155
71.1502,0.0122983
71.1653,0.0098686
71.1793,0.00683822
71.1946,0.00408849
71.2095,0.00114454
71.2239,-0.00209345
71.2393,-0.00410368
71.2541,-0.00686125
71.2685,-0.00987961
71.2832,-0.0130906
71.2983,-0.0157202
71.3129,-0.0178325
71.3292,-0.0210512
71.3437,-0.0252577
71.3583,-0.0266998
71.3736,-0.02878
71.3882,-0.0309456
71.4041,-0.0332673
71.4185,-0.0364644
71.4335,-0.0379928
71.449,-0.0404374
71.4641,-0.04212
71.4792,-0.0454715
71.4952,-0.0480385
