Time (min),Temperature (°C),Heat Flow (W/g)
0,25.09,-0.0316541977
0,25.1,-0.0309601669
0,25.1,-0.0305241051
0.01,25.1,-0.0298921700
0.01,25.11,-0.0292789249
0.01,25.11,-0.0288743916
0.01,25.12,-0.0283288803
0.01,25.12,-0.0277765236
0.01,25.13,-0.0269456406
0.01,25.13,-0.0264086761
0.02,25.14,-0.0259667854
0.02,25.14,-0.0253799858
0.02,25.15,-0.0247865238
0.02,25.15,-0.0242659798
0.02,25.16,-0.0236337261
0.03,25.17,-0.0231426010
0.03,25.17,-0.0226233330
0.03,25.18,-0.0221783295
0.03,25.18,-0.0216050758
0.03,25.19,-0.0212813339
0.03,25.2,-0.0209781742
0.03,25.21,-0.0206754932
0.04,25.21,-0.0204281235
0.04,25.22,-0.0199930954
0.04,25.23,-0.0198007412
0.04,25.24,-0.0196406479
0.04,25.25,-0.0194331741
0.05,25.26,-0.0192629242
0.05,25.26,-0.0189954739
0.05,25.27,-0.0188746357
0.05,25.28,-0.0187639656
0.05,25.29,-0.0187469273
0.05,25.3,-0.0187583008
0.05,25.31,-0.0188821945
0.06,25.32,-0.0189983521
0.06,25.33,-0.0191227627
0.06,25.34,-0.0192468605
0.06,25.35,-0.0193754673
0.06,25.36,-0.0195068188
0.07,25.37,-0.0202096748
0.07,25.38,-0.0205605240
0.07,25.39,-0.0208376999
0.07,25.4,-0.0210813656
0.07,25.41,-0.0212888336
0.07,25.42,-0.0214689579
0.08,25.43,-0.0216072426
0.08,25.44,-0.0218032284
0.08,25.46,-0.0220903568
0.08,25.47,-0.0224732037
0.08,25.48,-0.0229825706
0.08,25.49,-0.0235679111
0.08,25.5,-0.0241990814
0.09,25.51,-0.0248508930
0.09,25.52,-0.0257263813
0.09,25.54,-0.0267749691
0.09,25.55,-0.0280125961
0.09,25.56,-0.0292767143
0.09,25.57,-0.0306343479
0.1,25.58,-0.0318687420
0.1,25.59,-0.0331033516
0.1,25.61,-0.0341716080
0.1,25.62,-0.0354913063
0.1,25.63,-0.0362169838
0.11,25.64,-0.0370558815
0.11,25.66,-0.0380984383
0.11,25.67,-0.0389624977
0.11,25.68,-0.0400571327
0.11,25.69,-0.0412478371
0.11,25.71,-0.0422919044
0.12,25.72,-0.0433785858
0.12,25.73,-0.0444631195
0.12,25.74,-0.0455525551
0.12,25.76,-0.0465788269
0.12,25.77,-0.0475035095
0.12,25.78,-0.0483464661
0.13,25.8,-0.0494403343
0.13,25.81,-0.0504102211
0.13,25.82,-0.0515321846
0.13,25.83,-0.0524974556
0.13,25.85,-0.0534190674
0.13,25.86,-0.0544721565
0.14,25.87,-0.0553903580
0.14,25.89,-0.0564561310
0.14,25.9,-0.0575583725
0.14,25.91,-0.0584226799
0.14,25.92,-0.0595239296
0.14,25.94,-0.0605409966
0.14,25.95,-0.0612750969
0.15,25.97,-0.0621343727
0.15,25.98,-0.0631716042
0.15,25.99,-0.0639138031
0.15,26.01,-0.0646833649
0.15,26.02,-0.0656431961
0.16,26.03,-0.0667005310
0.16,26.05,-0.0676861115
0.16,26.06,-0.0686021194
0.16,26.07,-0.0694999924
0.16,26.09,-0.0704790192
0.16,26.1,-0.0712633820
0.16,26.11,-0.0721573792
0.17,26.13,-0.0729995041
0.17,26.14,-0.0738338089
0.17,26.15,-0.0746753311
0.17,26.17,-0.0757041321
0.17,26.18,-0.0765566559
0.18,26.2,-0.0773865509
0.18,26.21,-0.0784980240
0.18,26.22,-0.0792571869
0.18,26.24,-0.0799552307
0.18,26.25,-0.0805483704
0.18,26.27,-0.0813666534
0.19,26.28,-0.0821905136
0.19,26.29,-0.0830501709
0.19,26.31,-0.0838286743
0.19,26.32,-0.0847629089
0.19,26.34,-0.0856224747
0.19,26.35,-0.0863373795
0.19,26.37,-0.0871302490
0.2,26.38,-0.0877699890
0.2,26.4,-0.0885892258
0.2,26.41,-0.0893604202
0.2,26.42,-0.0901493378
0.2,26.44,-0.0909231873
0.21,26.45,-0.0915685120
0.21,26.47,-0.0922977829
0.21,26.48,-0.0930437012
0.21,26.5,-0.0938749390
0.21,26.51,-0.0945924454
0.21,26.52,-0.0952920074
0.21,26.54,-0.0959034729
0.22,26.56,-0.0966281738
0.22,26.57,-0.0972888565
0.22,26.58,-0.0980648117
0.22,26.6,-0.0985250549
0.22,26.61,-0.0993262024
0.23,26.63,-0.0999673004
0.23,26.64,-0.1006181946
0.23,26.66,-0.1014467010
0.23,26.67,-0.1020746765
0.23,26.69,-0.1027231445
0.23,26.7,-0.1033781052
0.24,26.72,-0.1042136841
0.24,26.73,-0.1049400635
0.24,26.75,-0.1054558563
0.24,26.76,-0.1061953812
0.24,26.78,-0.1068490601
0.24,26.79,-0.1074638901
0.24,26.81,-0.1081707230
0.25,26.82,-0.1087683334
0.25,26.84,-0.1092108612
0.25,26.85,-0.1097137070
0.25,26.87,-0.1104707718
0.25,26.88,-0.1109819260
0.26,26.9,-0.1117684250
0.26,26.91,-0.1122780228
0.26,26.93,-0.1127946091
0.26,26.95,-0.1132517548
0.26,26.96,-0.1138893661
0.26,26.97,-0.1144981003
0.26,26.99,-0.1151283875
0.27,27,-0.1158151169
0.27,27.02,-0.1164033585
0.27,27.04,-0.1170160599
0.27,27.05,-0.1175707016
0.27,27.07,-0.1181228561
0.28,27.08,-0.1186109543
0.28,27.1,-0.1191238861
0.28,27.11,-0.1197720642
0.28,27.13,-0.1201707153
0.28,27.14,-0.1207229385
0.28,27.16,-0.1211505585
0.29,27.17,-0.1215714035
0.29,27.19,-0.1221696320
0.29,27.2,-0.1226467285
0.29,27.22,-0.1233813095
0.29,27.24,-0.1239234314
0.29,27.25,-0.1243096695
0.3,27.27,-0.1246141052
0.3,27.28,-0.1252350998
0.3,27.3,-0.1258095627
0.3,27.31,-0.1261925201
0.3,27.33,-0.1265308228
0.3,27.34,-0.1268712845
0.3,27.36,-0.1271955566
0.31,27.38,-0.1275345764
0.31,27.39,-0.1280293427
0.31,27.41,-0.1285463867
0.31,27.42,-0.1290596313
0.31,27.44,-0.1295913239
0.31,27.45,-0.1299080048
0.32,27.47,-0.1305825500
0.32,27.48,-0.1309527740
