Sample temperature (C),Heat flow (mW)
70.098,-0.07828
70.101,-0.07841
70.107,-0.07846
70.107,-0.0785
70.107,-0.07853
70.117,-0.07857
70.121,-0.07861
70.141,-0.07874
70.153,-0.07898
70.177,-0.0791
70.201,-0.07919
70.232,-0.07929
70.26,-0.0794
70.292,-0.07953
70.327,-0.07981
70.356,-0.08032
70.392,-0.08083
70.428,-0.08157
70.471,-0.08233
70.509,-0.08352
70.548,-0.08479
70.589,-0.08607
70.633,-0.08784
70.675,-0.08992
70.722,-0.09208
70.766,-0.09427
70.805,-0.09703
70.853,-0.10015
70.899,-0.10359
70.946,-0.10733
70.994,-0.11137
71.036,-0.11572
71.083,-0.12037
71.136,-0.12534
71.175,-0.1306
71.228,-0.13616
71.275,-0.14201
71.32,-0.14832
71.372,-0.15511
71.422,-0.16184
71.473,-0.16889
71.52,-0.17631
71.568,-0.18374
71.616,-0.19152
71.668,-0.19936
71.713,-0.20725
71.764,-0.21515
71.811,-0.22279
71.859,-0.23028
71.912,-0.23764
71.963,-0.24489
72.015,-0.25214
72.066,-0.25946
72.113,-0.26699
72.159,-0.27478
72.214,-0.28249
72.263,-0.29001
72.316,-0.29743
72.361,-0.30478
72.411,-0.31206
72.465,-0.31927
72.509,-0.32629
72.562,-0.33311
72.611,-0.33992
72.66,-0.34656
72.711,-0.35332
72.762,-0.35994
72.813,-0.36636
72.863,-0.37289
72.913,-0.37929
72.962,-0.38551
73.013,-0.39183
73.063,-0.39811
73.113,-0.40435
73.161,-0.41042
73.209,-0.41633
73.265,-0.42232
73.316,-0.42829
73.364,-0.4342
73.412,-0.44005
73.463,-0.44593
73.511,-0.45186
73.564,-0.45758
73.612,-0.46321
73.663,-0.46878
73.716,-0.47428
73.764,-0.47973
73.813,-0.48513
73.866,-0.49048
73.914,-0.4957
73.965,-0.50077
74.018,-0.50593
74.063,-0.511
74.117,-0.51593
74.16,-0.52095
74.211,-0.52596
74.261,-0.53084
74.309,-0.5356
74.363,-0.54044
74.414,-0.54521
74.459,-0.54985
74.511,-0.55457
74.561,-0.55928
74.612,-0.56386
74.667,-0.56829
74.715,-0.57281
74.765,-0.57732
74.817,-0.5818
74.865,-0.58631
74.915,-0.59087
74.964,-0.59526
75.017,-0.59952
75.066,-0.60365
75.114,-0.60786
75.164,-0.61207
75.216,-0.61626
75.265,-0.62037
75.313,-0.62438
75.364,-0.62839
75.417,-0.63233
75.463,-0.63634
75.519,-0.64028
75.566,-0.64413
75.617,-0.64804
75.662,-0.65196
75.716,-0.65586
75.767,-0.65968
75.816,-0.66342
75.869,-0.66719
75.918,-0.6709
75.961,-0.67464
76.017,-0.67832
76.068,-0.682
76.114,-0.68556
76.166,-0.68911
76.216,-0.69276
76.263,-0.69641
76.313,-0.70003
76.368,-0.70363
76.416,-0.70719
76.464,-0.71072
76.518,-0.71423
76.565,-0.7177
76.616,-0.72116
76.667,-0.72464
76.715,-0.72817
76.764,-0.73163
76.816,-0.73511
76.862,-0.73851
76.915,-0.74197
76.965,-0.74538
77.015,-0.74871
77.062,-0.75208
77.118,-0.75533
77.164,-0.75853
77.216,-0.76171
77.261,-0.76487
77.312,-0.76801
77.362,-0.77113
77.416,-0.77428
77.468,-0.77748
77.516,-0.78056
77.565,-0.78358
77.614,-0.78657
77.663,-0.78953
77.72,-0.79246
77.769,-0.79536
77.813,-0.79823
77.863,-0.80108
77.917,-0.8039
77.967,-0.80669
78.018,-0.80947
78.066,-0.81217
78.118,-0.81479
78.167,-0.81744
78.215,-0.82
78.268,-0.82253
78.319,-0.82503
78.363,-0.82761
78.42,-0.83019
78.469,-0.83269
78.515,-0.83514
78.567,-0.83768
78.618,-0.84016
78.663,-0.84271
78.718,-0.84527
78.767,-0.8478
78.816,-0.8503
78.868,-0.85277
78.914,-0.85528
78.969,-0.85783
79.018,-0.8603
79.07,-0.8628
79.116,-0.86522
79.164,-0.86771
79.218,-0.87016
79.266,-0.87252
79.318,-0.87496
79.369,-0.8774
79.419,-0.87979
79.467,-0.88211
79.517,-0.88449
79.563,-0.88692
79.616,-0.88946
79.668,-0.89205
79.714,-0.89467
79.766,-0.89722
79.82,-0.89977
79.87,-0.90223
79.919,-0.90469
79.965,-0.90707
80.016,-0.90914
80.068,-0.91095
80.117,-0.91267
80.17,-0.91433
80.217,-0.91609
80.269,-0.91792
80.32,-0.9198
80.367,-0.92169
80.416,-0.92359
80.471,-0.92553
80.514,-0.92749
80.566,-0.9294
80.616,-0.93121
80.666,-0.93305
80.721,-0.93508
80.767,-0.93711
80.817,-0.93919
80.866,-0.94123
80.911,-0.94331
80.97,-0.94528
81.019,-0.94722
81.068,-0.94914
81.112,-0.951
81.165,-0.95281
81.219,-0.95466
81.269,-0.95648
81.318,-0.95821
81.37,-0.96
81.417,-0.96181
81.47,-0.96364
81.52,-0.9655
81.566,-0.96755
81.618,-0.96961
81.668,-0.97169
81.714,-0.97365
81.766,-0.9755
81.816,-0.97733
81.871,-0.97908
81.917,-0.98069
81.967,-0.98229
82.019,-0.98392
82.073,-0.98542
82.116,-0.98688
82.165,-0.98839
82.218,-0.98996
82.265,-0.99145
82.317,-0.99294
82.369,-0.99443
82.416,-0.99588
82.469,-0.99726
82.521,-0.99869
82.565,-1.00013
82.619,-1.00158
82.667,-1.00302
82.717,-1.00442
82.765,-1.00583
82.816,-1.0073
82.87,-1.00875
82.919,-1.01018
82.966,-1.01162
83.018,-1.0131
83.069,-1.01454
83.119,-1.01601
83.171,-1.01742
83.218,-1.0189
83.267,-1.02035
83.314,-1.02173
83.366,-1.02318
83.42,-1.0246
83.466,-1.02595
83.513,-1.02737
83.564,-1.02875
83.616,-1.03009
83.667,-1.03147
83.716,-1.03287
83.765,-1.03425
83.818,-1.03563
83.869,-1.037
83.916,-1.03836
83.969,-1.03971
84.018,-1.04105
84.066,-1.04238
84.115,-1.04371
84.165,-1.04502
84.218,-1.04632
84.268,-1.04762
84.316,-1.0489
84.368,-1.05016
84.415,-1.05141
84.465,-1.05264
84.518,-1.05385
84.569,-1.05505
84.616,-1.05624
84.666,-1.05745
84.713,-1.05873
84.769,-1.06004
84.815,-1.06133
84.866,-1.06256
84.915,-1.0638
84.965,-1.06506
85.019,-1.06627
85.066,-1.06748
85.114,-1.06871
85.166,-1.06989
85.217,-1.07109
85.269,-1.07232
85.321,-1.07352
85.365,-1.07476
85.418,-1.07593
85.468,-1.07709
85.514,-1.07823
85.566,-1.07936
85.616,-1.08049
85.668,-1.0816
85.718,-1.08269
85.764,-1.08374
85.817,-1.08474
85.866,-1.08575
85.913,-1.08672
85.968,-1.08772
86.017,-1.08867
86.067,-1.08964
86.121,-1.09064
86.171,-1.09159
86.213,-1.09254
86.266,-1.09352
86.314,-1.09447
86.365,-1.09546
86.417,-1.09646
86.464,-1.09746
86.519,-1.09846
86.563,-1.09946
86.614,-1.10045
86.667,-1.10144
86.718,-1.10243
86.765,-1.10342
86.813,-1.10439
86.868,-1.10536
86.922,-1.10632
86.966,-1.10726
87.017,-1.10819
87.065,-1.10911
87.112,-1.11001
87.163,-1.11091
87.219,-1.1118
87.267,-1.1127
87.317,-1.1136
87.365,-1.1145
87.415,-1.11541
87.466,-1.11632
87.515,-1.11723
87.564,-1.11814
87.618,-1.11905
87.665,-1.11995
87.719,-1.12084
87.77,-1.12171
87.816,-1.12258
87.866,-1.12343
87.917,-1.12427
87.968,-1.1251
88.017,-1.12592
88.068,-1.12674
88.113,-1.12755
88.161,-1.12836
88.212,-1.12916
88.266,-1.12997
88.314,-1.13077
88.365,-1.13157
88.415,-1.13237
88.462,-1.13317
88.514,-1.13397
88.567,-1.13478
88.613,-1.13558
88.666,-1.13638
88.713,-1.13717
88.764,-1.13797
88.816,-1.13876
88.864,-1.13954
88.915,-1.14032
88.966,-1.14109
89.012,-1.14186
89.065,-1.14261
89.118,-1.14336
89.165,-1.1441
89.216,-1.14484
89.261,-1.14557
89.315,-1.1463
89.364,-1.14704
89.418,-1.14779
89.463,-1.14854
89.516,-1.14931
89.562,-1.15008
89.616,-1.15086
89.663,-1.15164
89.715,-1.15242
89.764,-1.15319
89.812,-1.15395
89.863,-1.15471
89.91,-1.15545
89.962,-1.15619
90.013,-1.15692
90.063,-1.15764
90.109,-1.15835
90.165,-1.15906
90.213,-1.15976
90.266,-1.16046
90.313,-1.16115
90.364,-1.16184
90.416,-1.16252
90.465,-1.16321
90.513,-1.1639
90.567,-1.16458
90.609,-1.16527
90.66,-1.16596
90.714,-1.16665
90.762,-1.16733
90.811,-1.16801
90.862,-1.16868
90.909,-1.16934
90.962,-1.16998
91.012,-1.17062
91.064,-1.17125
91.113,-1.17187
91.161,-1.17249
91.215,-1.1731
91.264,-1.17371
91.317,-1.17431
91.364,-1.17491
91.411,-1.17551
91.46,-1.17611
91.514,-1.17671
91.566,-1.17731
91.611,-1.17791
91.663,-1.17851
91.708,-1.1791
91.762,-1.1797
91.81,-1.1803
91.863,-1.1809
91.914,-1.18149
91.963,-1.18209
92.011,-1.18269
92.065,-1.18329
92.113,-1.18388
92.166,-1.18448
92.211,-1.18508
92.26,-1.18568
92.314,-1.18626
92.365,-1.18685
92.413,-1.18743
92.462,-1.188
92.508,-1.18856
92.562,-1.18912
92.612,-1.18968
92.663,-1.19024
92.714,-1.1908
92.759,-1.19137
92.812,-1.19194
92.863,-1.19251
92.913,-1.19308
92.961,-1.19366
93.009,-1.19423
93.062,-1.1948
93.113,-1.19537
93.162,-1.19593
93.211,-1.19649
93.263,-1.19704
93.311,-1.19759
93.362,-1.19813
93.411,-1.19866
93.461,-1.19919
93.512,-1.19971
93.56,-1.20022
93.61,-1.20071
93.662,-1.2012
93.711,-1.20168
93.761,-1.20216
93.811,-1.20263
93.859,-1.20309
93.908,-1.20356
93.963,-1.20402
94.009,-1.20449
94.062,-1.20496
94.11,-1.20543
94.162,-1.2059
94.208,-1.20637
94.263,-1.20684
94.309,-1.20732
94.358,-1.20779
94.409,-1.20826
94.459,-1.20872
94.508,-1.20918
94.559,-1.20964
94.611,-1.21009
94.656,-1.21054
94.707,-1.21099
94.756,-1.21144
94.808,-1.21189
94.863,-1.21235
94.911,-1.21281
94.963,-1.21327
95.012,-1.21373
95.056,-1.21419
95.11,-1.21465
95.16,-1.2151
95.209,-1.21554
95.259,-1.21598
95.306,-1.21641
95.362,-1.21684
