Temperaturee (°C),Heat flow (W/g)
0,25.07,-0.027225494
0,25.08,-0.026538847
0,25.08,-0.025719673
0.01,25.08,-0.024735287
0.01,25.09,-0.023847138
0.01,25.09,-0.022653828
0.01,25.1,-0.021699703
0.01,25.1,-0.020784582
0.01,25.11,-0.01979826
0.01,25.11,-0.018807304
0.02,25.12,-0.017843685
0.02,25.12,-0.016961462
0.02,25.13,-0.016041895
0.02,25.13,-0.015135744
0.02,25.14,-0.014248248
0.03,25.15,-0.013247425
0.03,25.15,-0.012186814
0.03,25.16,-0.011151444
0.03,25.17,-0.010208244
0.03,25.17,-0.009381914
0.03,25.18,-0.008510248
0.03,25.19,-0.00768295
0.04,25.2,-0.006971224
0.04,25.2,-0.006250312
0.04,25.21,-0.005364879
0.04,25.22,-0.004578339
0.04,25.23,-0.00374339
0.05,25.24,-0.003041767
0.05,25.24,-0.002263447
0.05,25.26,-0.001670769
0.05,25.26,-0.001186907
0.05,25.27,-0.000658278
0.05,25.28,-0.000333362
0.05,25.29,-0.000109961
0.06,25.3,0.000171104
0.06,25.31,0.000367703
0.06,25.32,0.000705298
0.06,25.33,0.000832618
0.06,25.34,0.00091541
0.07,25.35,0.00108834
0.07,25.37,0.001111594
0.07,25.38,0.001346411
0.07,25.39,0.001308642
0.07,25.4,0.001304559
0.07,25.41,0.001162561
0.08,25.42,0.001022127
0.08,25.43,0.000690678
0.08,25.44,0.000541023
0.08,25.46,0.000252058
0.08,25.47,3.5178E-06
0.08,25.48,-0.000189234
0.08,25.49,-0.001066362
0.09,25.5,-0.001500071
0.09,25.51,-0.001972223
0.09,25.52,-0.00243216
0.09,25.54,-0.002853576
0.09,25.55,-0.00320617
0.09,25.56,-0.00356534
0.1,25.57,-0.004047659
0.1,25.59,-0.004654007
0.1,25.6,-0.005359405
0.1,25.61,-0.006141723
0.1,25.62,-0.006896708
0.11,25.64,-0.007671607
0.11,25.65,-0.008492461
0.11,25.66,-0.009480447
0.11,25.67,-0.010475576
0.11,25.69,-0.011626199
0.11,25.7,-0.012930918
0.12,25.71,-0.014062041
0.12,25.72,-0.015025836
0.12,25.74,-0.016037493
0.12,25.75,-0.016832197
0.12,25.76,-0.017632893
0.12,25.78,-0.018399992
0.13,25.79,-0.019315861
0.13,25.8,-0.020164408
0.13,25.82,-0.02097077
0.13,25.83,-0.021933126
0.13,25.84,-0.022983011
0.13,25.85,-0.023935875
0.14,25.87,-0.024817389
0.14,25.88,-0.025830456
0.14,25.89,-0.026913664
0.14,25.91,-0.027863537
0.14,25.92,-0.028707159
0.14,25.93,-0.02949432
0.14,25.95,-0.030267025
0.15,25.96,-0.031094584
0.15,25.97,-0.031883034
0.15,25.99,-0.032634117
0.15,26,-0.033444645
0.15,26.01,-0.034176495
0.16,26.03,-0.035041649
0.16,26.04,-0.035876881
0.16,26.05,-0.03677298
0.16,26.07,-0.037764931
0.16,26.08,-0.038636292
0.16,26.1,-0.039518654
0.16,26.11,-0.040205853
0.17,26.12,-0.040943977
0.17,26.14,-0.041647678
0.17,26.15,-0.042368744
0.17,26.16,-0.043093723
0.17,26.18,-0.043862564
0.18,26.19,-0.044641743
0.18,26.21,-0.045339405
0.18,26.22,-0.046024326
0.18,26.23,-0.046799557
0.18,26.25,-0.047376686
0.18,26.26,-0.048011639
0.19,26.28,-0.048615177
0.19,26.29,-0.049344166
0.19,26.31,-0.049953404
0.19,26.32,-0.050710114
0.19,26.33,-0.051446209
0.19,26.35,-0.052241074
0.19,26.36,-0.052952305
0.2,26.38,-0.053544395
0.2,26.39,-0.054543331
0.2,26.41,-0.055115585
0.2,26.42,-0.055829418
0.2,26.43,-0.056467842
0.21,26.45,-0.057064648
0.21,26.46,-0.057726479
0.21,26.48,-0.05833493
0.21,26.49,-0.058951145
0.21,26.51,-0.059503651
