Temperature (°C),Heat flow (W/g)
1.0,-0.037
70.04,-0.037
70.04,-0.037
70.04,-0.037
70.04,-0.036
70.04,-0.036
70.04,-0.036
70.04,-0.036
70.04,-0.036
70.04,-0.035
70.04,-0.035
70.04,-0.035
70.04,-0.035
70.04,-0.034
70.04,-0.034
70.04,-0.034
70.04,-0.034
70.04,-0.033
70.04,-0.033
70.04,-0.033
70.04,-0.033
70.04,-0.032
70.04,-0.032
70.04,-0.032
70.04,-0.032
70.05,-0.032
70.05,-0.031
70.05,-0.031
70.05,-0.031
70.05,-0.031
70.05,-0.031
70.06,-0.031
70.06,-0.031
70.06,-0.032
70.07,-0.032
70.07,-0.032
70.07,-0.032
70.08,-0.032
70.08,-0.032
70.08,-0.033
70.09,-0.033
70.09,-0.034
70.1,-0.034
70.1,-0.035
70.11,-0.036
70.11,-0.038
70.12,-0.04
70.12,-0.042
70.13,-0.044
70.14,-0.046
70.14,-0.048
70.15,-0.05
70.16,-0.051
70.16,-0.052
70.17,-0.054
70.18,-0.055
70.19,-0.057
70.2,-0.058
70.2,-0.06
70.21,-0.062
70.22,-0.064
70.23,-0.065
70.24,-0.067
70.25,-0.069
70.26,-0.071
70.27,-0.072
70.28,-0.074
70.29,-0.076
70.3,-0.077
70.31,-0.079
70.31,-0.08
70.33,-0.082
70.34,-0.083
70.35,-0.085
70.36,-0.087
70.37,-0.088
70.38,-0.09
70.39,-0.092
70.4,-0.094
70.41,-0.095
70.42,-0.097
70.44,-0.098
70.45,-0.1
70.46,-0.101
70.47,-0.103
70.48,-0.104
70.49,-0.106
70.51,-0.107
70.52,-0.108
70.53,-0.109
70.54,-0.111
70.55,-0.113
70.57,-0.114
70.58,-0.115
70.59,-0.117
70.6,-0.118
70.62,-0.12
70.63,-0.121
70.64,-0.122
70.65,-0.123
70.67,-0.124
70.68,-0.125
70.69,-0.126
70.71,-0.127
70.72,-0.129
70.73,-0.13
70.75,-0.131
70.76,-0.132
70.77,-0.133
70.79,-0.134
70.8,-0.135
70.81,-0.137
70.83,-0.138
70.84,-0.139
70.86,-0.14
70.87,-0.14
70.88,-0.141
70.9,-0.142
70.91,-0.144
70.92,-0.144
70.94,-0.145
70.95,-0.146
70.97,-0.147
70.98,-0.149
70.99,-0.15
71.01,-0.151
71.02,-0.151
71.04,-0.152
71.05,-0.153
71.06,-0.154
71.08,-0.155
71.09,-0.155
71.11,-0.156
71.12,-0.157
71.14,-0.158
71.15,-0.159
71.17,-0.16
71.18,-0.161
71.2,-0.161
71.21,-0.162
71.22,-0.163
71.24,-0.164
71.26,-0.165
71.27,-0.166
71.28,-0.166
71.3,-0.167
71.31,-0.168
71.33,-0.169
71.35,-0.17
71.36,-0.171
71.37,-0.171
71.39,-0.172
71.41,-0.173
71.42,-0.173
71.44,-0.174
71.45,-0.174
71.47,-0.175
71.48,-0.176
71.5,-0.177
71.51,-0.177
71.53,-0.178
71.54,-0.179
71.56,-0.179
71.57,-0.18
71.59,-0.18
71.61,-0.181
71.62,-0.182
71.64,-0.183
71.65,-0.183
71.67,-0.183
71.68,-0.184
71.7,-0.185
71.71,-0.185
71.73,-0.185
71.75,-0.186
71.76,-0.187
71.78,-0.187
71.79,-0.188
71.81,-0.188
71.82,-0.189
71.84,-0.19
71.86,-0.19
71.87,-0.191
71.89,-0.191
71.9,-0.191
71.92,-0.192
71.94,-0.192
71.95,-0.193
71.97,-0.193
71.98,-0.193
72.0,-0.194
72.01,-0.194
72.03,-0.194
72.05,-0.195
72.06,-0.195
72.08,-0.196
72.09,-0.196
72.11,-0.197
72.13,-0.197
72.14,-0.197
72.16,-0.198
72.17,-0.198
72.19,-0.198
72.21,-0.199
72.22,-0.199
72.24,-0.2
72.25,-0.2
72.27,-0.2
72.29,-0.201
72.3,-0.201
72.32,-0.201
72.34,-0.201
72.35,-0.202
72.37,-0.202
72.38,-0.202
72.4,-0.202
72.42,-0.203
72.43,-0.203
72.45,-0.203
72.47,-0.204
72.48,-0.204
72.5,-0.204
72.51,-0.205
72.53,-0.205
72.55,-0.205
72.56,-0.205
72.58,-0.205
72.6,-0.206
72.61,-0.206
72.63,-0.206
72.64,-0.206
72.66,-0.207
72.68,-0.207
72.69,-0.207
72.71,-0.207
72.73,-0.207
72.74,-0.208
72.76,-0.208
72.77,-0.208
72.79,-0.208
72.81,-0.208
72.82,-0.208
72.84,-0.209
72.86,-0.209
72.87,-0.209
72.89,-0.209
72.91,-0.209
72.92,-0.21
72.94,-0.21
72.95,-0.21
72.97,-0.21
72.99,-0.211
73.0,-0.211
73.02,-0.211
73.04,-0.211
73.05,-0.211
73.07,-0.211
73.09,-0.211
73.1,-0.211
73.12,-0.212
73.14,-0.212
73.15,-0.212
73.17,-0.212
73.19,-0.212
73.2,-0.213
73.22,-0.213
73.23,-0.213
73.25,-0.213
73.27,-0.213
73.28,-0.213
73.3,-0.213
73.32,-0.213
73.33,-0.213
73.35,-0.213
73.37,-0.214
73.38,-0.214
73.4,-0.214
73.42,-0.214
73.43,-0.214
73.45,-0.214
73.47,-0.214
73.48,-0.214
73.5,-0.214
73.51,-0.214
73.53,-0.214
73.55,-0.215
73.57,-0.215
73.58,-0.215
73.6,-0.215
73.61,-0.215
73.63,-0.215
73.65,-0.215
73.66,-0.215
73.68,-0.215
73.7,-0.215
73.71,-0.215
73.73,-0.215
73.75,-0.216
73.76,-0.216
73.78,-0.216
73.8,-0.216
73.81,-0.216
73.83,-0.216
73.85,-0.216
73.86,-0.216
73.88,-0.216
73.9,-0.216
73.91,-0.216
73.93,-0.216
73.95,-0.216
73.96,-0.216
73.98,-0.216
74.0,-0.216
74.01,-0.217
74.03,-0.217
74.05,-0.217
74.06,-0.217
74.08,-0.217
74.09,-0.217
74.11,-0.217
74.13,-0.217
74.14,-0.217
74.16,-0.217
74.18,-0.217
74.19,-0.217
74.21,-0.217
74.23,-0.217
74.24,-0.217
74.26,-0.217
74.28,-0.217
74.29,-0.217
74.31,-0.217
74.33,-0.217
74.34,-0.217
74.36,-0.217
74.38,-0.217
74.39,-0.217
74.41,-0.217
74.43,-0.217
74.44,-0.217
74.46,-0.217
74.48,-0.218
74.49,-0.218
74.51,-0.218
74.53,-0.218
74.54,-0.218
74.56,-0.218
74.58,-0.218
74.59,-0.218
74.61,-0.218
74.62,-0.218
74.64,-0.218
74.66,-0.218
74.67,-0.218
74.69,-0.218
74.71,-0.218
74.73,-0.218
74.74,-0.218
74.76,-0.218
74.78,-0.218
74.79,-0.218
74.81,-0.218
74.82,-0.218
74.84,-0.218
74.86,-0.218
74.88,-0.218
74.89,-0.218
74.91,-0.218
74.93,-0.218
74.94,-0.218
74.96,-0.218
74.97,-0.218
74.99,-0.218
75.01,-0.218
75.02,-0.218
75.04,-0.218
75.06,-0.218
75.07,-0.218
75.09,-0.218
75.11,-0.219
75.12,-0.219
75.14,-0.219
75.16,-0.219
75.17,-0.219
75.19,-0.219
75.21,-0.219
75.22,-0.219
75.24,-0.219
75.26,-0.219
75.27,-0.219
75.29,-0.219
75.31,-0.219
75.32,-0.219
75.34,-0.219
75.36,-0.219
75.37,-0.219
75.39,-0.219
75.41,-0.219
75.42,-0.219
75.44,-0.219
75.46,-0.219
75.47,-0.219
75.49,-0.219
75.5,-0.219
75.52,-0.219
75.54,-0.219
75.56,-0.219
75.57,-0.219
75.59,-0.219
75.6,-0.219
75.62,-0.219
75.64,-0.219
75.66,-0.219
75.67,-0.219
75.69,-0.219
75.7,-0.219
75.72,-0.219
75.74,-0.219
75.76,-0.219
75.77,-0.219
75.79,-0.219
75.81,-0.219
75.82,-0.22
75.84,-0.22
75.85,-0.22
75.87,-0.22
75.89,-0.22
75.91,-0.22
75.92,-0.22
75.94,-0.22
75.96,-0.22
75.97,-0.22
75.99,-0.22
76.0,-0.22
76.02,-0.22
76.04,-0.22
76.05,-0.22
76.07,-0.22
76.09,-0.22
76.1,-0.22
76.12,-0.22
76.14,-0.22
76.15,-0.22
76.17,-0.22
76.19,-0.22
76.21,-0.22
76.22,-0.22
76.24,-0.22
76.25,-0.22
76.27,-0.22
76.29,-0.22
76.3,-0.22
76.32,-0.22
76.34,-0.22
76.35,-0.22
76.37,-0.22
76.39,-0.22
76.4,-0.22
76.42,-0.22
76.44,-0.22
76.45,-0.22
76.47,-0.22
76.49,-0.22
76.5,-0.22
76.52,-0.22
76.54,-0.221
76.55,-0.221
76.57,-0.221
76.59,-0.221
76.6,-0.221
76.62,-0.221
76.64,-0.221
76.65,-0.221
76.67,-0.221
76.69,-0.221
76.7,-0.221
76.72,-0.221
76.74,-0.221
76.75,-0.221
76.77,-0.221
76.79,-0.221
76.8,-0.221
76.82,-0.221
76.84,-0.221
76.85,-0.221
76.87,-0.221
76.89,-0.221
76.9,-0.221
76.92,-0.221
76.94,-0.221
76.95,-0.221
76.97,-0.221
76.99,-0.221
77.0,-0.221
77.02,-0.221
77.04,-0.221
77.05,-0.221
77.07,-0.221
77.09,-0.221
77.1,-0.221
77.12,-0.221
77.14,-0.221
77.15,-0.221
77.17,-0.221
77.19,-0.221
77.2,-0.221
77.22,-0.221
77.24,-0.221
77.25,-0.221
77.27,-0.221
77.29,-0.221
77.3,-0.221
77.32,-0.221
77.34,-0.221
77.35,-0.221
77.37,-0.221
77.38,-0.221
77.4,-0.222
77.42,-0.222
77.43,-0.222
77.45,-0.222
77.47,-0.222
77.48,-0.222
77.5,-0.222
77.52,-0.222
77.54,-0.222
77.55,-0.222
77.57,-0.222
77.58,-0.222
77.6,-0.222
77.62,-0.222
77.63,-0.222
77.65,-0.222
77.67,-0.222
77.68,-0.222
77.7,-0.222
77.72,-0.222
77.74,-0.222
77.75,-0.222
