Point,Distance (µm),Br L series
1,0,24442.91
2,0.00272018460043722,26633.08
3,0.00544036920087443,26688.93
4,0.00816055380131165,26427.76
5,0.0108807384017489,30962.88
6,0.0136009230021861,26169.48
7,0.0163211076026233,28074.23
8,0.0190412922030605,29696.87
9,0.0217614768034977,27403.08
10,0.0244816614039349,28866.46
11,0.0272018460043721,30673.92
12,0.0299220306048093,27136.57
13,0.0326422152052465,24553.78
14,0.0353623998056838,25208.23
15,0.038082584406121,27999.32
16,0.0408027690065582,26345.93
17,0.0435229536069954,29173.46
18,0.0462431382074326,30074.99
19,0.0489633228078698,27726.68
20,0.051683507408307,25588.92
21,0.0544036920087442,30543.72
22,0.0571238766091814,25402.56
23,0.0598440612096186,30308.62
24,0.0625642458100559,27405.28
25,0.0652844304104931,30389.38
26,0.0680046150109303,26794.42
27,0.0707247996113675,25999.85
28,0.0734449842118047,26351.25
29,0.0761651688122419,25976.25
30,0.0788853534126792,26616.8
31,0.0816055380131164,26438.58
32,0.0843257226135535,25993.17
33,0.0870459072139907,25125.92
34,0.0897660918144279,25309.9
35,0.0924862764148652,27969.57
36,0.0952064610153024,26998.54
37,0.0979266456157396,30858.65
38,0.100646830216177,27107.06
39,0.103367014816614,28853.93
40,0.106087199417051,28806.62
41,0.108807384017488,27421.48
42,0.111527568617926,25347.55
43,0.114247753218363,28145.43
44,0.1169679378188,25638.3
45,0.119688122419237,27283.03
46,0.122408307019674,27570.6
47,0.125128491620112,28936.22
48,0.127848676220549,26601.07
49,0.130568860820986,25133.42
50,0.133289045421423,27560.33
51,0.136009230021861,25933.02
52,0.138729414622298,26814.88
53,0.141449599222735,27345.06
54,0.144169783823172,27723.37
55,0.146889968423609,27860.53
56,0.149610153024047,27295.67
57,0.152330337624484,27717.59
58,0.155050522224921,25932.29
59,0.157770706825358,25349.99
60,0.160490891425795,28498.79
61,0.163211076026233,23999.43
62,0.16593126062667,26532.57
63,0.168651445227107,28636.54
64,0.171371629827544,26179.41
65,0.174091814427981,24672.09
66,0.176811999028419,29162.65
67,0.179532183628856,26734.42
68,0.182252368229293,27739.7
69,0.18497255282973,22991.71
70,0.187692737430168,27906.89
71,0.190412922030605,28809.11
72,0.193133106631042,25038.67
73,0.195853291231479,24932.65
74,0.198573475831916,23009.83
75,0.201293660432354,25191.04
76,0.204013845032791,26420.46
77,0.206734029633228,26086.42
78,0.209454214233665,25627.42
79,0.212174398834102,26584.02
80,0.21489458343454,26200.26
81,0.217614768034977,25561.69
82,0.220334952635414,26077.87
83,0.223055137235851,24721.63
84,0.225775321836288,28811.97
85,0.228495506436726,25127.42
86,0.231215691037163,26314.06
87,0.2339358756376,25677.22
88,0.236656060238037,23425.21
89,0.239376244838475,23455.93
90,0.242096429438912,28873.69
91,0.244816614039349,23414.88
92,0.247536798639786,25459.08
93,0.250256983240223,27559.41
94,0.252977167840661,22611.76
95,0.255697352441098,26510.02
96,0.258417537041535,23065.29
97,0.261137721641972,29150.75
98,0.26385790624241,29289.15
99,0.266578090842847,25687.34
100,0.269298275443284,27581.95
101,0.272018460043721,32012.74
102,0.274738644644158,27946.59
103,0.277458829244596,29973.65
104,0.280179013845033,23744.39
105,0.28289919844547,24898.83
106,0.285619383045907,28559.25
107,0.288339567646344,27404.98
108,0.291059752246782,29845.5
109,0.293779936847219,28277.84
110,0.296500121447656,26580.53
111,0.299220306048093,28176.76
112,0.301940490648531,28393.72
113,0.304660675248968,26157.89
114,0.307380859849405,26063.3
115,0.310101044449842,26907.25
116,0.312821229050279,25046.49
117,0.315541413650717,25159.42
118,0.318261598251154,25344.53
119,0.320981782851591,25726.63
120,0.323701967452028,27885.89
121,0.326422152052465,27856.36
122,0.329142336652903,27856.55
123,0.33186252125334,26477.86
124,0.334582705853777,26691.53
125,0.337302890454214,25857.74
126,0.340023075054651,27620.41
127,0.342743259655089,28302.61
128,0.345463444255526,29503.05
129,0.348183628855963,24006.72
130,0.3509038134564,22105.51
131,0.353623998056837,27099.31
132,0.356344182657275,24720.22
133,0.359064367257712,25184.73
134,0.361784551858149,27886.25
135,0.364504736458586,27067.21
136,0.367224921059023,28453.61
137,0.369945105659461,29446.34
138,0.372665290259898,26695.46
139,0.375385474860335,27614.14
140,0.378105659460772,26077.58
141,0.38082584406121,22525.95
142,0.383546028661647,25089.61
143,0.386266213262084,23715.39
144,0.388986397862521,28384.69
145,0.391706582462958,25542.24
146,0.394426767063396,23756.73
147,0.397146951663833,27029.46
148,0.39986713626427,28854.6
149,0.402587320864707,25468.66
150,0.405307505465144,27535.88
151,0.408027690065582,26325.16
152,0.410747874666019,27921.63
153,0.413468059266456,29931.45
154,0.416188243866893,29613.45
155,0.418908428467331,26841.47
156,0.421628613067768,24507.7
