Point,Distance (µm),Br L series
1,0.0,23822.56
2,0.0113412322274896,27035.59
3,0.0226824644549756,24897.77
4,0.0340236966824652,25595.79
5,0.0453649289099512,26128.92
6,0.0567061611374408,23345.61
7,0.0680473933649304,24654.19
8,0.0793886255924164,24892.63
9,0.090729857819906,25047.82
10,0.102071090047392,24087.38
11,0.113412322274882,23264.99
12,0.124753554502371,24676.84
13,0.136094786729857,24688.85
14,0.147436018957347,24338.61
15,0.158777251184833,24199.92
16,0.170118483412322,24182.59
17,0.181459715639812,25498.47
18,0.192800947867298,24190.05
19,0.204142180094788,22563.62
20,0.215483412322274,25506.45
21,0.226824644549763,23971.83
22,0.238165876777253,22975.53
23,0.249507109004739,23691.15
24,0.260848341232228,25344.76
25,0.272189573459714,23612.65
26,0.283530805687204,24412.88
27,0.294872037914694,25785.76
28,0.30621327014218,25151.56
29,0.317554502369669,24240.66
30,0.328895734597155,24872.77
31,0.340236966824645,24527.84
32,0.351578199052134,23984.14
33,0.36291943127962,23536.29
34,0.37426066350711,24508.01
35,0.385601895734596,26057.89
36,0.396943127962086,24342.3
37,0.408284360189575,24636.41
38,0.419625592417061,24865.53
39,0.430966824644551,23458.85
40,0.442308056872037,23978.42
41,0.453649289099526,23500.67
42,0.464990521327016,23480.54
43,0.476331753554502,23032.6
44,0.487672985781991,23318.74
45,0.499014218009477,22930.0
46,0.510355450236967,23495.09
47,0.521696682464457,23971.21
48,0.533037914691943,22776.24
49,0.544379146919432,23725.33
50,0.555720379146918,22049.33
51,0.567061611374408,23049.53
52,0.578402843601898,23390.86
53,0.589744075829383,22764.9
54,0.601085308056873,21314.99
55,0.612426540284359,22017.72
56,0.623767772511849,22915.65
57,0.635109004739338,22744.5
58,0.646450236966824,23273.3
59,0.657791469194314,21665.36
60,0.6691327014218,22347.55
61,0.68047393364929,21626.06
62,0.691815165876779,22730.56
63,0.703156398104265,21538.74
64,0.714497630331755,22998.77
65,0.725838862559241,23751.95
66,0.73718009478673,21247.36
67,0.74852132701422,23463.46
68,0.759862559241706,23092.2
69,0.771203791469195,23928.22
70,0.782545023696681,22914.84
71,0.793886255924171,22961.23
72,0.805227488151661,23522.24
73,0.816568720379147,23805.33
74,0.827909952606636,23797.99
75,0.839251184834122,25648.3
76,0.850592417061612,24617.71
77,0.861933649289102,23952.24
78,0.873274881516587,23935.92
79,0.884616113744077,24744.98
80,0.895957345971563,25488.45
81,0.907298578199053,24331.51
82,0.918639810426542,23790.71
83,0.929981042654028,24929.34
84,0.941322274881518,24735.78
85,0.952663507109004,26007.57
86,0.964004739336493,23677.04
87,0.975345971563983,25308.72
88,0.986687203791469,25104.39
89,0.998028436018959,25715.93
90,1.00936966824644,24975.96
91,1.02071090047393,24607.2
92,1.03205213270142,25830.73
93,1.04339336492891,25125.78
94,1.0547345971564,24447.84
95,1.06607582938389,26309.51
96,1.07741706161138,25673.26
97,1.08875829383886,23649.79
98,1.10009952606635,24446.44
99,1.11144075829384,24928.27
100,1.12278199052133,25937.76
101,1.13412322274882,25729.59
102,1.1454644549763,26033.77
103,1.15680568720379,24421.19
104,1.16814691943128,24837.91
105,1.17948815165877,24664.85
106,1.19082938388626,24208.15
107,1.20217061611375,22957.46
108,1.21351184834123,24275.2
109,1.22485308056872,24702.35
110,1.23619431279621,22550.48
111,1.2475355450237,23416.71
