Point,Distance (µm),Br L series
1,0.0,24928.92
2,0.0113431279620842,24178.19
3,0.0226862559241721,24805.24
4,0.0340293838862563,23897.84
5,0.0453725118483404,23361.35
6,0.0567156398104283,24479.42
7,0.0680587677725125,23152.1
8,0.0794018957345967,22435.09
9,0.0907450236966809,22547.25
10,0.102088151658769,22991.36
11,0.113431279620853,22435.63
12,0.124774407582937,23826.96
13,0.136117535545025,21949.03
14,0.147460663507109,23622.06
15,0.158803791469193,23311.35
16,0.170146919431281,23476.92
17,0.181490047393365,21193.57
18,0.19283317535545,21985.15
19,0.204176303317534,21083.35
20,0.215519431279622,21812.82
21,0.226862559241706,21267.89
22,0.23820568720379,22786.88
23,0.249548815165878,21560.35
24,0.260891943127962,20838.91
25,0.272235071090046,20877.49
26,0.283578199052134,21662.46
27,0.294921327014218,20997.73
28,0.306264454976303,22436.29
29,0.317607582938387,20603.0
30,0.328950710900475,19747.78
31,0.340293838862559,21967.67
32,0.351636966824643,20938.47
33,0.362980094786731,20262.62
34,0.374323222748815,21219.98
35,0.385666350710899,21786.3
36,0.397009478672987,20872.68
37,0.408352606635071,21133.6
38,0.419695734597156,21743.19
39,0.43103886255924,21760.61
40,0.442381990521328,21600.32
41,0.453725118483412,22647.03
42,0.465068246445496,22230.46
43,0.476411374407584,23382.2
44,0.487754502369668,22414.08
45,0.499097630331752,21899.19
46,0.51044075829384,22819.08
47,0.521783886255924,22521.71
48,0.533127014218009,21171.76
49,0.544470142180096,22313.33
50,0.555813270142181,23955.44
51,0.567156398104265,22763.08
52,0.578499526066349,23387.76
53,0.589842654028437,22187.43
54,0.601185781990521,21834.63
55,0.612528909952605,21759.66
56,0.623872037914693,22941.74
57,0.635215165876777,22887.13
58,0.646558293838862,22453.31
59,0.657901421800949,22946.12
60,0.669244549763034,23443.56
61,0.680587677725118,22385.09
62,0.691930805687202,21994.66
63,0.70327393364929,22456.27
64,0.714617061611374,22857.21
65,0.725960189573458,22879.57
66,0.737303317535546,21902.12
67,0.74864644549763,21837.44
68,0.759989573459715,22426.14
69,0.771332701421802,22035.14
70,0.782675829383887,22840.54
71,0.794018957345971,21810.91
72,0.805362085308055,21396.6
73,0.816705213270143,21683.28
74,0.828048341232227,22399.91
75,0.839391469194311,21995.96
76,0.850734597156399,21649.32
77,0.862077725118483,23440.32
78,0.873420853080567,24010.42
79,0.884763981042655,22066.65
80,0.89610710900474,23735.02
81,0.907450236966824,22383.69
82,0.918793364928912,23909.55
83,0.930136492890996,23369.12
84,0.94147962085308,21123.76
85,0.952822748815164,21715.96
86,0.964165876777252,22324.75
87,0.975509004739336,22131.09
88,0.98685213270142,22990.94
89,0.998195260663508,22463.62
90,1.00953838862559,23673.27
91,1.02088151658768,22359.87
92,1.03222464454976,23634.51
93,1.04356777251185,22884.92
94,1.05491090047393,22221.19
95,1.06625402843602,22861.82
96,1.0775971563981,22706.1
97,1.08894028436019,22931.93
98,1.10028341232227,22235.29
99,1.11162654028436,22803.87
100,1.12296966824645,20505.04
101,1.13431279620853,22466.54
102,1.14565592417062,22431.18
103,1.1569990521327,21346.39
104,1.16834218009479,22614.8
105,1.17968530805687,22264.98
106,1.19102843601896,22809.29
107,1.20237156398104,22081.74
108,1.21371469194313,23561.94
109,1.22505781990521,19828.47
110,1.2364009478673,23643.43
111,1.24774407582938,21941.67
112,1.25908720379147,23455.43
113,1.27043033175355,22323.94
114,1.28177345971564,21105.35
115,1.29311658767773,21895.63
116,1.30445971563981,21824.41
117,1.3158028436019,21744.99
118,1.32714597156398,22391.52
119,1.33848909952607,22205.51
120,1.34983222748815,20435.1
121,1.36117535545024,22514.12
122,1.37251848341232,21659.83
123,1.38386161137441,23774.4
124,1.39520473933649,21586.25
125,1.40654786729858,22772.33
126,1.41789099526066,21460.71
127,1.42923412322275,21930.32
128,1.44057725118483,20612.14
129,1.45192037914692,20814.1
130,1.463263507109,22733.39
131,1.47460663507109,20685.34
132,1.48594976303318,21007.69
133,1.49729289099526,22223.55
134,1.50863601895734,20166.58
135,1.51997914691943,21465.65
136,1.53132227488152,20827.32
137,1.5426654028436,21649.86
138,1.55400853080569,21571.45
139,1.56535165876777,21688.73
140,1.57669478672986,21894.24
141,1.58803791469194,22182.76
142,1.59938104265403,21963.23
143,1.61072417061611,22246.4
144,1.6220672985782,21496.91
145,1.63341042654028,23194.75
146,1.64475355450237,21472.44
147,1.65609668246445,23032.61
148,1.66743981042654,22273.63
149,1.67878293838863,22840.65
150,1.69012606635071,21903.9
151,1.70146919431279,22160.97
152,1.71281232227488,22223.75
153,1.72415545023697,22888.12
154,1.73549857819905,21696.34
155,1.74684170616114,21061.63
156,1.75818483412322,21726.15
157,1.76952796208531,21022.3
158,1.78087109004739,20999.67
159,1.79221421800948,21684.44
160,1.80355734597156,22853.07
161,1.81490047393365,21480.47
162,1.82624360189574,21078.91
163,1.83758672985782,21022.69
164,1.8489298578199,21804.31
165,1.86027298578199,21954.66
166,1.87161611374408,21843.38
167,1.88295924170616,21433.79
168,1.89430236966825,21910.85
169,1.90564549763033,22227.97
170,1.91698862559242,21645.63
171,1.9283317535545,21342.56
172,1.93967488151659,21581.21
173,1.95101800947867,21605.4
174,1.96236113744076,21467.74
175,1.97370426540284,21129.13
176,1.98504739336493,21220.13
177,1.99639052132701,21666.61
178,2.0077336492891,21512.27
179,2.01907677725119,21760.38
180,2.03041990521327,21491.14
181,2.04176303317536,23440.29
182,2.05310616113744,21906.36
183,2.06444928909953,22232.29
184,2.07579241706161,21570.72
185,2.0871355450237,21365.88
186,2.09847867298578,22716.93
187,2.10982180094787,21398.54
188,2.12116492890995,22588.22
189,2.13250805687204,22596.83
190,2.14385118483412,23485.49
191,2.15519431279621,21631.2
192,2.16653744075829,21931.66
193,2.17788056872038,22014.71
194,2.18922369668246,23137.28
195,2.20056682464455,21460.74
196,2.21190995260663,22590.03
197,2.22325308056872,22108.92
198,2.23459620853081,22533.63
199,2.24593933649289,23226.95
200,2.25728246445497,22375.18
201,2.26862559241706,23194.08
202,2.27996872037915,22582.08
203,2.29131184834123,22536.17
204,2.30265497630332,22416.3
205,2.3139981042654,22906.57
206,2.32534123222749,22670.19
207,2.33668436018957,24651.35
208,2.34802748815166,24270.74
209,2.35937061611374,22631.81
210,2.37071374407583,24688.81
211,2.38205687203791,24601.64
212,2.3934,24426.36
213,2.40474312796208,23925.67
214,2.41608625592417,24339.08
215,2.42742938388626,26569.67
216,2.43877251184834,24999.13
217,2.45011563981042,23427.08
218,2.46145876777251,25310.77
219,2.4728018957346,23186.84
220,2.48414502369668,24963.0
221,2.49548815165877,24714.66
222,2.50683127962085,24821.71
223,2.51817440758294,24577.52
224,2.52951753554502,25431.5
225,2.54086066350711,25079.88
226,2.55220379146919,27148.45
227,2.56354691943128,23572.96
228,2.57489004739337,25346.71
229,2.58623317535545,25934.63
230,2.59757630331753,25228.82
231,2.60891943127962,24888.62
232,2.62026255924171,25549.22
233,2.63160568720379,24625.66
234,2.64294881516588,23348.94
235,2.65429194312796,24647.68
236,2.66563507109005,23701.71
237,2.67697819905213,24392.34
238,2.68832132701422,24833.76
239,2.6996644549763,24039.98
240,2.71100758293839,22430.28
241,2.72235071090048,24020.33
242,2.73369383886256,25244.99
243,2.74503696682464,24012.85
244,2.75638009478673,22532.04
245,2.76772322274882,23779.66
246,2.7790663507109,21928.31
247,2.79040947867298,24825.22
248,2.80175260663507,23153.44
249,2.81309573459716,22536.35
250,2.82443886255924,23123.17
251,2.83578199052133,22508.73
252,2.84712511848341,22068.66
253,2.8584682464455,22039.33
254,2.86981137440758,23079.3
255,2.88115450236967,23105.65
256,2.89249763033175,23230.97
257,2.90384075829384,22642.53
258,2.91518388625592,21654.56
259,2.92652701421801,23579.79
260,2.93787014218009,22756.57
261,2.94921327014218,21872.27
262,2.96055639810427,21639.62
263,2.97189952606635,23311.33
264,2.98324265402843,21437.72
265,2.99458578199052,20571.68
266,3.00592890995261,21011.24
267,3.01727203791469,20434.96
268,3.02861516587678,20431.29
269,3.03995829383886,20470.23
270,3.05130142180095,20607.08
271,3.06264454976303,19587.84
272,3.07398767772512,19527.08
273,3.0853308056872,19629.27
274,3.09667393364929,19250.48
275,3.10801706161137,18585.96
276,3.11936018957346,17947.83
277,3.13070331753554,18063.43
278,3.14204644549763,19018.41
279,3.15338957345972,19978.33
280,3.1647327014218,18406.88
281,3.17607582938389,17772.82
282,3.18741895734597,18302.98
283,3.19876208530805,18588.97
284,3.21010521327014,19058.61
285,3.22144834123223,18683.47
286,3.23279146919431,17742.41
287,3.2441345971564,17699.75
288,3.25547772511848,17757.7
289,3.26682085308057,16830.46
290,3.27816398104265,18056.44
291,3.28950710900474,16076.03
292,3.30085023696682,16226.2
293,3.31219336492891,16912.73
294,3.323536492891,15586.49
295,3.33487962085308,15558.94
296,3.34622274881516,15192.3
297,3.35756587677725,14381.63
298,3.36890900473934,14832.88
299,3.38025213270142,13879.5
300,3.39159526066351,14365.39
301,3.40293838862559,14382.97
302,3.41428151658768,14577.5
303,3.42562464454976,14185.59
304,3.43696777251185,13846.85
305,3.44831090047393,12493.94
306,3.45965402843602,10424.56
307,3.4709971563981,10206.57
308,3.48234028436019,9671.297
309,3.49368341232227,9951.293
310,3.50502654028436,10434.6
311,3.51636966824645,9663.903
312,3.52771279620853,10381.27
313,3.53905592417061,9155.33
314,3.5503990521327,8654.007
315,3.56174218009479,10251.79
316,3.57308530805687,8783.746
317,3.58442843601895,8375.034
318,3.59577156398104,9646.948
319,3.60711469194313,9059.589
320,3.61845781990521,9411.234
321,3.6298009478673,8706.874
322,3.64114407582938,8327.167
323,3.65248720379147,7890.222
324,3.66383033175355,8525.555
325,3.67517345971564,8591.926
326,3.68651658767772,7704.127
327,3.69785971563981,8437.955
328,3.7092028436019,7842.977
329,3.72054597156398,8862.706
330,3.73188909952606,8049.771
331,3.74323222748815,7403.974
332,3.75457535545024,7637.273
333,3.76591848341232,7686.979
334,3.77726161137441,7672.52
335,3.78860473933649,8072.823
336,3.79994786729858,7820.085
337,3.81129099526066,7681.949
338,3.82263412322275,7085.763
339,3.83397725118483,7131.95
340,3.84532037914692,8273.791
341,3.856663507109,8246.517
342,3.86800663507109,7812.471
343,3.87934976303317,8226.769
344,3.89069289099526,7282.109
345,3.90203601895734,7117.32
346,3.91337914691943,7366.624
347,3.92472227488152,7717.706
348,3.9360654028436,6895.318
349,3.94740853080569,7850.985
350,3.95875165876777,7482.591
351,3.97009478672986,7209.765
352,3.98143791469194,7429.499
353,3.99278104265403,7151.877
354,4.00412417061611,7540.935
355,4.0154672985782,7146.927
356,4.02681042654028,6827.521
357,4.03815355450237,7144.007
358,4.04949668246445,7117.671
359,4.06083981042654,6364.248
360,4.07218293838863,8246.07
361,4.08352606635071,6797.609
362,4.0948691943128,6072.498
363,4.10621232227488,6149.176
364,4.11755545023697,6470.519
365,4.12889857819905,4928.917
366,4.14024170616114,5695.152
367,4.15158483412322,6433.752
368,4.16292796208531,6340.465
369,4.17427109004739,6183.049
370,4.18561421800948,6852.415
371,4.19695734597156,6530.703
372,4.20830047393365,6605.105
373,4.21964360189574,6403.146
374,4.23098672985782,5495.899
375,4.2423298578199,6189.553
376,4.25367298578199,6104.491
377,4.26501611374408,5912.066
378,4.27635924170616,6166.002
379,4.28770236966824,6292.632
380,4.29904549763033,6034.01
381,4.31038862559242,5869.12
382,4.3217317535545,6181.429
383,4.33307488151658,5819.312
384,4.34441800947867,5357.867
385,4.35576113744076,6279.707
386,4.36710426540285,6013.591
387,4.37844739336493,5894.594
388,4.38979052132701,5060.548
389,4.4011336492891,5517.059
390,4.41247677725118,5171.845
391,4.42381990521327,5182.665
392,4.43516303317535,5960.487
393,4.44650616113744,5776.699
394,4.45784928909953,5404.112
395,4.46919241706161,5453.426
396,4.48053554502369,5436.418
397,4.49187867298578,5982.694
398,4.50322180094787,5288.456
399,4.51456492890995,6023.302
400,4.52590805687204,4455.273
401,4.53725118483412,5626.616
402,4.54859431279621,4684.146
403,4.55993744075829,5738.045
404,4.57128056872038,4466.455
405,4.58262369668246,4933.466
406,4.59396682464455,5470.844
407,4.60530995260664,4524.376
408,4.61665308056872,5004.486
409,4.6279962085308,5684.642
410,4.63933933649289,4360.255
411,4.65068246445498,5091.485
412,4.66202559241706,4518.39
413,4.67336872037915,4503.208
414,4.68471184834123,4670.373
415,4.69605497630332,5161.852
416,4.7073981042654,4979.9
417,4.71874123222749,3921.853
418,4.73008436018957,4494.751
419,4.74142748815166,5227.656
420,4.75277061611374,4437.659
421,4.76411374407583,4309.705
422,4.77545687203791,4536.392
423,4.7868,4596.759
424,4.79814312796209,3929.658
425,4.80948625592417,4220.104
426,4.82082938388626,3786.956
427,4.83217251184834,4381.318
428,4.84351563981043,4854.875
429,4.85485876777251,4675.462
430,4.8662018957346,4077.515
431,4.87754502369668,4042.305
432,4.88888815165877,4002.59
433,4.90023127962085,3945.254
434,4.91157440758294,3837.029
435,4.92291753554502,3699.335
436,4.93426066350711,3596.549
437,4.94560379146919,3776.162
438,4.95694691943128,4564.461
439,4.96829004739337,4590.973
440,4.97963317535545,4963.638
441,4.99097630331753,4196.211
442,5.00231943127962,4200.437
443,5.01366255924171,3522.593
444,5.02500568720379,3356.425
445,5.03634881516588,3638.626
446,5.04769194312796,4103.875
447,5.05903507109005,3846.691
448,5.07037819905213,3572.125
449,5.08172132701421,4005.936
450,5.0930644549763,3011.303
451,5.10440758293839,3558.16
452,5.11575071090047,3418.333
453,5.12709383886256,3787.955
454,5.13843696682464,4271.811
455,5.14978009478673,3693.337
456,5.16112322274881,3159.371
457,5.1724663507109,3582.225
458,5.18380947867298,3239.797
459,5.19515260663507,3509.607
460,5.20649573459716,2711.863
461,5.21783886255924,4010.351
462,5.22918199052133,4121.816
463,5.24052511848341,4065.313
464,5.2518682464455,3330.271
465,5.26321137440758,3817.365
466,5.27455450236967,3234.029
467,5.28589763033175,3570.229
468,5.29724075829384,3327.996
469,5.30858388625592,3800.875
470,5.31992701421801,3022.015
471,5.33127014218009,3012.89
472,5.34261327014218,3474.783
473,5.35395639810426,3514.63
474,5.36529952606635,3610.45
475,5.37664265402843,3345.435
476,5.38798578199052,3267.1
477,5.39932890995261,3494.981
478,5.41067203791469,3604.073
479,5.42201516587678,4179.663
480,5.43335829383886,3365.484
481,5.44470142180095,3608.991
482,5.45604454976303,3682.365
483,5.46738767772512,3731.959
484,5.4787308056872,3080.589
485,5.49007393364929,3488.067
486,5.50141706161137,2962.956
487,5.51276018957346,3531.138
488,5.52410331753554,3708.438
489,5.53544644549763,3426.994
490,5.54678957345972,3068.221
491,5.5581327014218,3873.961
492,5.56947582938389,3171.122
493,5.58081895734597,3309.375
494,5.59216208530806,2928.057
495,5.60350521327014,2881.162
496,5.61484834123223,2940.568
497,5.62619146919431,3162.096
498,5.6375345971564,3085.21
499,5.64887772511848,2830.56
500,5.66022085308057,3548.425
501,5.67156398104265,3033.234
502,5.68290710900474,3311.501
503,5.69425023696682,3203.316
504,5.70559336492891,3215.154
505,5.71693649289099,3388.232
506,5.72827962085308,3328.432
507,5.73962274881516,2826.367
508,5.75096587677725,3092.41
509,5.76230900473933,3036.633
510,5.77365213270142,3682.521
511,5.78499526066351,3387.724
512,5.79633838862559,2742.701
513,5.80768151658768,3096.501
514,5.81902464454976,3190.453
515,5.83036777251185,2810.212
516,5.84171090047393,3329.409
517,5.85305402843602,3466.823
518,5.8643971563981,2717.21
519,5.87574028436019,3430.947
520,5.88708341232227,3300.384
521,5.89842654028436,2961.727
522,5.90976966824644,3084.408
523,5.92111279620853,2813.349
524,5.93245592417061,2832.619
525,5.9437990521327,2720.672
526,5.95514218009479,3061.97
527,5.96648530805687,2164.469
528,5.97782843601896,2550.12
529,5.98917156398104,2889.614
530,6.00051469194313,2564.168
531,6.01185781990521,2814.808
532,6.0232009478673,2921.292
533,6.03454407582938,2653.599
534,6.04588720379147,2521.291
535,6.05723033175355,2644.654
536,6.06857345971564,2712.154
537,6.07991658767772,2641.527
538,6.09125971563981,3273.327
539,6.1026028436019,2756.304
540,6.11394597156398,2947.114
541,6.12528909952606,2778.569
542,6.13663222748815,2673.281
543,6.14797535545024,2709.991
544,6.15931848341232,2796.46
545,6.17066161137441,2355.601
546,6.18200473933649,2021.185
547,6.19334786729858,2796.15
548,6.20469099526066,2872.196
549,6.21603412322275,2383.921
550,6.22737725118483,3228.426
551,6.23872037914692,3268.051
552,6.250063507109,2888.666
553,6.26140663507109,2599.251
554,6.27274976303317,2748.525
555,6.28409289099526,2242.801
556,6.29543601895734,2803.252
557,6.30677914691943,2053.083
558,6.31812227488152,2294.824
559,6.3294654028436,2734.363
560,6.34080853080569,2363.48
561,6.35215165876777,2676.443
562,6.36349478672986,2733.037
563,6.37483791469194,2533.127
564,6.38618104265403,2768.045
565,6.39752417061611,3001.625
566,6.4088672985782,2816.886
567,6.42021042654028,2608.67
568,6.43155355450237,2663.434
569,6.44289668246445,2964.477
570,6.45423981042654,2797.765
571,6.46558293838863,2622.279
572,6.47692606635071,2644.429
573,6.4882691943128,3135.417
574,6.49961232227488,2756.364
575,6.51095545023696,2869.852
576,6.52229857819905,2163.891
577,6.53364170616113,2844.617
578,6.54498483412322,2449.593
579,6.55632796208531,2570.337
580,6.56767109004739,2142.601
581,6.57901421800948,2361.949
582,6.59035734597156,2633.064
583,6.60170047393365,1914.165
584,6.61304360189574,2260.047
585,6.62438672985782,2799.355
586,6.6357298578199,1994.845
587,6.64707298578199,2448.792
588,6.65841611374407,2166.349
589,6.66975924170616,2363.062
590,6.68110236966825,2767.694
591,6.69244549763033,1711.063
592,6.70378862559242,2293.458
593,6.7151317535545,2574.664
594,6.72647488151658,2612.438
595,6.73781800947867,2335.736
596,6.74916113744076,2580.792
597,6.76050426540284,2394.243
598,6.77184739336493,2722.813
599,6.78319052132701,2389.346
600,6.7945336492891,2637.569
601,6.80587677725118,1818.219
602,6.81721990521327,2330.76
603,6.82856303317535,2317.568
604,6.83990616113744,2035.119
605,6.85124928909953,2370.823
606,6.86259241706161,2710.475
607,6.8739355450237,2575.98
608,6.88527867298578,2712.769
609,6.89662180094787,2263.326
610,6.90796492890995,1954.172
611,6.91930805687204,2267.348
612,6.93065118483412,2428.259
613,6.94199431279621,2585.415
614,6.95333744075829,1913.249
615,6.96468056872038,2314.005
616,6.97602369668246,2735.882
617,6.98736682464455,2806.829
618,6.99870995260664,1901.637
619,7.01005308056872,2212.552
620,7.0213962085308,1776.084
621,7.03273933649289,1429.042
622,7.04408246445498,1919.518
623,7.05542559241706,2141.794
624,7.06676872037914,1536.293
625,7.07811184834123,2164.054
626,7.08945497630332,2243.86
627,7.1007981042654,1780.02
628,7.11214123222749,1608.864
629,7.12348436018957,2034.195
630,7.13482748815166,1927.721
631,7.14617061611374,1736.553
632,7.15751374407583,1827.14
633,7.16885687203791,2707.902
634,7.1802,1627.771
635,7.19154312796208,1893.615
636,7.20288625592417,1795.611
637,7.21422938388625,1620.61
638,7.22557251184834,2292.589
639,7.23691563981043,1994.231
640,7.24825876777251,2033.453
641,7.2596018957346,2248.885
642,7.27094502369668,1806.475
643,7.28228815165877,2111.82
644,7.29363127962085,2061.045
645,7.30497440758294,2059.566
646,7.31631753554502,2030.771
647,7.32766066350711,2138.405
648,7.33900379146919,2348.757
