Wavenumber (cm-1),Intensity
599.753,0.00149335
600.718,5.95E-04
601.682,-9.04E-05
602.646,-3.16E-04
603.61,3.32E-05
604.574,8.70E-04
605.539,0.00193733
606.503,0.00293936
607.467,0.00371059
608.431,0.00429992
609.396,0.00490935
610.36,0.00572088
611.324,0.0067394
612.288,0.00776744
613.253,0.00852866
614.217,0.00884539
615.181,0.00875692
616.145,0.00851735
617.109,0.00846118
618.074,0.00879091
619.038,0.00943184
620.002,0.0100776
620.966,0.0103779
621.931,0.0101122
622.895,0.00926736
623.859,0.00803039
624.823,0.00671692
625.788,0.00563954
626.752,0.00497078
627.716,0.0046868
628.68,0.00463313
629.645,0.00465116
630.609,0.00467739
631.573,0.00475892
632.537,0.00498725
633.501,0.00539788
634.466,0.00590301
635.43,0.00630984
636.394,0.00642097
637.358,0.0061507
638.323,0.00557573
639.287,0.00488256
640.251,0.00424808
641.215,0.00373721
642.18,0.00328804
643.144,0.00278797
644.108,0.0021774
645.072,0.00150573
646.036,9.04E-04
647.001,5.05E-04
647.965,3.74E-04
648.929,4.99E-04
649.893,8.25E-04
650.858,0.00125861
651.822,0.00174619
652.786,0.00219277
653.75,0.00249395
654.715,0.00258143
655.679,0.00246761
656.643,0.00224709
657.607,0.00204347
658.572,0.00193594
659.536,0.00192042
660.5,0.0019346
661.464,0.00193098
662.428,0.00192556
663.393,0.00197804
664.357,0.00214542
665.321,0.0024631
666.285,0.00294578
667.25,0.00356736
668.214,0.00419003
669.178,0.00457011
670.142,0.00461349
671.107,0.00445197
672.071,0.00419885
673.035,0.00387523
673.999,0.00348091
674.963,0.00305349
675.928,0.00268147
676.892,0.00246725
677.856,0.00245942
678.82,0.00262
679.785,0.00285808
680.749,0.00309606
681.713,0.00330604
682.677,0.00349712
683.642,0.003681
684.606,0.00385478
685.57,0.00401866
686.534,0.00421314
687.499,0.00453692
688.463,0.00511719
689.427,0.00603657
690.391,0.00727125
691.355,0.00868763
692.32,0.0100886
693.284,0.0112741
694.248,0.0120826
