Wavenumber (cm-1),Intensity
599.753,6.25E-04
600.718,-3.94E-05
601.682,-3.67E-04
602.646,-2.24E-05
603.61,9.42E-04
604.574,0.00218337
605.539,0.00332017
606.503,0.00415997
607.467,0.00477467
608.431,0.00540127
609.396,0.00625028
610.36,0.00735368
611.324,0.00854278
612.288,0.00955988
613.253,0.0102171
614.217,0.0104972
615.181,0.0105476
616.145,0.0105828
617.109,0.0107496
618.074,0.0110295
619.038,0.0112507
620.002,0.0112023
620.966,0.0107494
621.931,0.009871
622.895,0.0086467
623.859,0.0072411
624.823,0.0058964
625.788,0.0048912
626.752,0.00444791
627.716,0.00462631
628.68,0.00527981
629.645,0.00610451
630.609,0.00675421
631.573,0.00696461
632.537,0.00663752
633.501,0.00585692
634.466,0.00483912
635.43,0.00385342
636.394,0.00314892
637.358,0.00290682
638.323,0.00320623
639.287,0.00399603
640.251,0.00509003
641.215,0.00620823
642.18,0.00706303
643.144,0.00745783
644.108,0.00735264
645.072,0.00686984
646.036,0.00624314
647.001,0.00573684
647.965,0.00556074
648.929,0.00580424
649.893,0.00639825
650.858,0.00713255
651.822,0.00774075
652.786,0.00801855
653.75,0.00791295
654.715,0.00755025
655.679,0.00720166
656.643,0.00720326
657.607,0.00784626
658.572,0.00924516
659.536,0.0112072
660.5,0.0132043
661.464,0.0145951
662.428,0.0149972
663.393,0.0144466
664.357,0.0132452
665.321,0.0117616
666.285,0.0103798
667.25,0.00954578
668.214,0.00962168
669.178,0.0103164
670.142,0.0107224
671.107,0.0104142
672.071,0.00961288
673.035,0.00863589
673.999,0.00768999
674.963,0.00689199
675.928,0.00630019
676.892,0.00592579
677.856,0.00574299
678.82,0.0057108
679.785,0.0057912
680.749,0.0059541
681.713,0.0061808
682.677,0.0064764
683.642,0.0068852
684.606,0.00748881
685.57,0.00838291
686.534,0.00963521
687.499,0.0112464
688.463,0.0131386
689.427,0.0151845
690.391,0.0172539
691.355,0.0192381
692.32,0.0210333
693.284,0.0225067
694.248,0.0234798
695.212,0.0237582
696.177,0.0232089
697.141,0.0218453
698.105,0.0198599
699.069,0.0175708
700.034,0.0153173
700.998,0.0133682
701.962,0.011875
702.926,0.0108643
703.89,0.0102493
704.855,0.00985675
705.819,0.00947625
706.783,0.00892915
707.747,0.00813275
708.712,0.00712345
709.676,0.00602155
710.64,0.00495546
711.604,0.00399086
712.569,0.00310796
713.533,0.00223956
714.497,0.00134956
715.461,4.94E-04
716.426,-1.80E-04
717.39,-4.91E-04
718.354,-3.21E-04
719.318,2.93E-04
720.282,0.00113747
721.247,0.00196542
722.211,0.00253836
723.175,0.00276959
724.139,0.00280582
725.104,0.00287456
726.068,0.00317839
727.032,0.00382181
727.996,0.00478066
728.961,0.00592118
729.925,0.00706561
730.889,0.00807285
731.853,0.00889428
732.817,0.00958041
733.782,0.010245
734.746,0.0110112
735.71,0.0119722
736.674,0.0131896
737.639,0.0147203
738.603,0.0166388
739.567,0.0190192
740.531,0.0218647
741.496,0.0250182
742.46,0.0281163
743.424,0.03064
744.388,0.0320666
745.353,0.0320648
746.317,0.0306268
747.281,0.0280676
748.245,0.024898
749.209,0.0216425
750.174,0.0186937
751.138,0.0162484
752.102,0.0143266
753.066,0.0128366
754.031,0.0116449
754.995,0.0106214
755.959,0.00965788
756.923,0.00867442
757.888,0.00754197
758.852,0.00633602
759.816,0.00511528
760.78,0.00396593
761.744,0.00297778
762.709,0.00220994
763.673,0.00166979
764.637,0.00132044
765.601,0.0011063
766.566,9.83E-04
767.53,9.33E-04
768.494,9.56E-04
769.458,0.00105571
770.423,0.00121646
771.387,0.00140752
772.351,0.00159557
773.315,0.00176332
774.28,0.00191768
775.244,0.00208173
776.208,0.00227528
777.172,0.00249684
778.136,0.00271739
779.101,0.00288834
780.065,0.0029576
781.029,0.00288595
781.993,0.0026572
782.958,0.00228336
783.922,0.00180571
784.886,0.00128856
785.85,8.07E-04
786.815,4.27E-04
787.779,1.89E-04
788.743,1.02E-04
789.707,1.50E-04
790.671,3.21E-04
791.636,5.97E-04
792.6,9.55E-04
793.564,0.00135117
794.528,0.00171355
795.493,0.00196172
796.457,0.00204259
797.421,0.00196246
798.385,0.00178693
799.35,0.001602
