Displacement;Gc (KJ/m²)
mm;KJ/m^2
0.053;0.06581
0.07;-0.02455
0.087;-0.02562
0.1037;-0.02568
0.1203;-0.02805
0.1373;-0.02637
0.154;-0.02627
0.171;-0.02634
0.1877;-0.02832
0.2043;-0.02905
0.221;-0.0331
0.2377;-0.02632
0.2543;-0.01714
0.271;-0.009336
0.2877;-0.02066
0.3043;-0.01542
0.321;-0.01206
0.3377;-0.01358
0.3543;-0.01641
0.371;-0.01502
0.3877;-0.01506
0.4043;-0.01837
0.421;-0.01889
0.4377;-0.0168
0.4543;-0.01811
0.4713;-0.02052
0.4883;-0.01871
0.505;-0.01697
0.5217;-0.01884
0.5383;-0.01937
0.5553;-0.01604
0.572;-0.01694
0.589;-0.01732
0.6057;-0.01606
0.6223;-0.01233
0.639;-0.01264
0.6557;-0.01184
0.6723;-0.01199
0.689;-0.01378
0.7057;-0.02064
0.7223;-0.0447
0.739;-0.05516
0.7557;-0.05929
0.7723;-0.05344
0.7893;-0.02387
0.8063;-0.01897
0.823;-0.01546
0.8397;-0.01281
0.8563;-0.01122
0.873;-0.01161
0.8897;-0.01253
0.9063;-0.01158
0.923;-0.01008
0.9397;-0.01193
0.9563;-0.01198
0.973;-0.01261
0.99;-0.01263
1.007;-0.0124
1.024;-0.01315
1.04;-0.01157
1.057;-0.01204
1.074;-0.01207
1.091;-0.01211
1.108;-0.01282
1.124;-0.01325
1.141;-0.0122
1.158;-0.01255
1.174;-0.01273
1.191;-0.01286
1.208;-0.01338
1.225;-0.01269
1.242;-0.01334
1.258;-0.01424
1.275;-0.01364
1.292;-0.01326
1.308;-0.01364
1.325;-0.01497
1.342;-0.01457
1.358;-0.01498
1.375;-0.01616
1.392;-0.01527
1.408;-0.01466
1.425;-0.01602
1.442;-0.01742
1.458;-0.01768
1.475;-0.01899
1.492;-0.01919
1.509;-0.0187
1.525;-0.02048
1.542;-0.01918
1.559;-0.01929
1.575;-0.01859
1.592;-0.01968
1.609;-0.02039
1.626;-0.02133
1.642;-0.01999
1.659;-0.02079
1.676;-0.021
1.693;-0.02133
1.709;-0.02159
1.726;-0.02067
1.743;-0.01941
1.76;-0.01856
1.777;-0.01901
1.793;-0.01842
1.81;-0.02051
1.827;-0.02298
1.844;-0.02244
1.86;-0.02338
