Displacement;Gc (KJ/m²)
mm;KJ/m^2
0.05733;0.08804
0.074;0.0884
0.09067;0.08624
0.1073;0.08385
0.124;0.08369
0.1407;0.08428
0.1573;0.08402
0.1743;0.08487
0.191;0.08693
0.2077;0.08942
0.2243;0.0906
0.241;0.09265
0.258;0.09414
0.2747;0.09456
0.2913;0.09632
0.308;0.09836
0.3247;0.101
0.3417;0.1043
0.3587;0.1064
0.3753;0.1082
0.392;0.108
0.4087;0.1071
0.4253;0.1085
0.442;0.1093
0.4587;0.1115
0.4753;0.1113
0.492;0.1125
0.5087;0.1139
0.5253;0.1149
0.542;0.117
0.5587;0.1188
0.5753;0.1205
0.592;0.122
0.6087;0.1241
0.6257;0.1267
0.6423;0.1276
0.6593;0.1298
0.676;0.1306
0.6927;0.1285
0.7093;0.131
0.726;0.1322
0.743;0.1335
0.76;0.1348
0.7767;0.1365
0.7933;0.1377
0.8103;0.1375
0.827;0.1387
0.8437;0.141
0.8603;0.144
0.877;0.1448
0.8937;0.1454
0.9103;0.1484
0.927;0.1495
0.9437;0.1505
0.9603;0.1511
0.977;0.1504
0.9937;0.1516
1.01;0.1538
1.027;0.156
1.044;0.1593
1.061;0.1614
1.077;0.1646
1.094;0.1646
1.111;0.1677
1.127;0.1691
1.144;0.1716
1.161;0.1752
1.177;0.1767
1.194;0.1782
1.211;0.1807
1.228;0.1826
1.245;0.183
1.262;0.1826
1.278;0.1824
1.295;0.1845
1.312;0.1864
1.328;0.1885
1.345;0.1897
1.362;0.1927
1.379;0.1954
1.396;0.198
1.412;0.2013
1.429;0.2037
1.446;0.2059
1.462;0.2092
1.479;0.2119
1.496;0.2121
1.512;0.2147
1.529;0.2168
1.546;0.2207
1.562;0.2245
1.579;0.2276
1.596;0.2308
1.613;0.2358
1.629;0.2393
1.646;0.2428
1.663;0.2457
1.679;0.2481
1.696;0.2522
1.713;0.2545
1.729;0.255
1.746;0.2584
1.763;0.2618
1.78;0.2657
1.796;0.2695
1.813;0.274
1.83;0.2768
1.846;0.2799
1.863;0.2845
1.88;0.2896
1.897;0.2936
1.913;0.298
1.93;0.3027
1.947;0.3044
1.963;0.3081
1.98;0.3129
1.997;0.3177
2.014;0.3208
2.03;0.3259
2.047;0.3289
2.064;0.3325
2.081;0.3375
2.098;0.3426
2.114;0.3477
2.131;0.3515
2.148;0.3568
2.164;0.3596
2.181;0.3637
2.198;0.3694
2.215;0.3733
2.232;0.3782
2.248;0.3844
2.265;0.3895
2.282;0.3942
2.298;0.3994
2.315;0.4036
2.332;0.41
2.349;0.4154
2.366;0.4206
2.382;0.426
2.399;0.4319
2.416;0.4374
2.432;0.4418
2.449;0.4447
2.466;0.449
2.483;0.4546
2.5;0.46
2.516;0.4653
2.533;0.4697
2.55;0.4737
2.567;0.4788
2.584;0.4839
2.601;0.4901
2.617;0.4955
2.634;0.503
2.651;0.5086
2.668;0.5135
2.684;0.5197
2.701;0.5269
2.718;0.5338
2.734;0.5396
2.751;0.5468
2.768;0.5553
2.785;0.5637
2.801;0.5719
2.818;0.5811
2.835;0.5896
2.852;0.596
2.869;0.6045
2.885;0.6122
2.902;0.6216
2.919;0.63
2.936;0.6383
2.952;0.6463
2.969;0.6556
2.986;0.6654
3.002;0.6758
3.019;0.6844
3.036;0.6928
3.052;0.7011
3.069;0.7106
3.086;0.7197
3.102;0.7302
3.119;0.7412
3.136;0.7516
3.152;0.7628
3.169;0.775
3.186;0.7869
3.202;0.7972
3.219;0.8066
3.236;0.8163
3.252;0.8289
3.269;0.8419
3.286;0.8527
3.302;0.8615
3.319;0.8725
3.336;0.8832
3.352;0.8951
3.369;0.9049
3.386;0.9156
3.402;0.9265
3.419;0.9383
3.436;0.949
3.452;0.96
3.469;0.9713
3.486;0.9814
3.503;0.9936
3.52;1.005
3.536;1.014
3.553;1.023
3.57;1.033
3.586;1.045
3.603;1.055
3.62;1.068
3.637;1.079
3.654;1.089
3.67;1.099
3.687;1.108
3.704;1.116
3.72;1.126
3.737;1.134
3.754;1.142
3.77;1.147
3.787;1.15
3.804;1.152
3.821;1.155
3.837;1.157
3.854;1.152
3.871;1.127
3.888;1.091
3.905;1.049
3.922;1.036
3.939;1.021
3.955;1.008
3.972;0.9949
3.989;0.9971
4.006;0.9979
4.022;0.9786
4.039;0.9739
4.056;0.9795
4.073;0.9857
4.09;0.9851
4.106;0.9837
4.123;0.9888
4.14;0.9958
4.157;1.002
4.173;1.009
4.19;1.014
4.207;1.016
4.223;1.015
4.24;1.022
4.257;1.028
4.274;1.034
4.29;1.041
4.307;1.047
4.324;1.054
4.34;1.061
4.357;1.067
4.374;1.067
4.39;1.069
4.407;1.076
4.424;1.082
4.44;1.085
4.457;1.079
4.474;1.08
4.491;1.076
4.508;1.072
4.524;1.071
4.541;1.07
4.558;1.066
4.575;1.067
4.591;1.062
4.608;1.037
4.625;1.025
4.642;1.026
4.659;1.027
4.675;1.022
4.692;1
4.709;0.9926
4.725;0.9932
4.742;0.9862
4.759;0.9834
4.775;0.9711
4.792;0.9591
4.809;0.9603
4.825;0.9628
4.842;0.964
4.859;0.9497
4.876;0.939
4.892;0.932
4.909;0.9227
4.926;0.9049
4.943;0.8845
4.959;0.8727
4.976;0.8673
4.993;0.8678
5.009;0.8708
5.026;0.8712
5.043;0.8727
5.06;0.8738
5.077;0.8698
5.093;0.8641
5.11;0.8596
5.127;0.8568
5.144;0.8541
5.161;0.8533
5.177;0.852
5.194;0.85
5.211;0.8489
5.228;0.8341
5.245;0.7736
5.261;0.717
5.278;0.6945
5.295;0.6837
5.312;0.6767
5.328;0.6679
5.345;0.6537
5.362;0.6407
5.379;0.6235
5.396;0.6024
5.412;0.5836
5.429;0.572
5.446;0.5662
5.462;0.5584
5.479;0.5485
5.496;0.5292
5.512;0.4658
5.529;0.3734
5.546;0.3265
5.563;0.3108
5.579;0.3056
5.596;0.305
5.613;0.3035
5.63;0.3042
5.646;0.3067
5.663;0.3074
5.68;0.3083
5.697;0.31
5.714;0.3125
5.731;0.3145
5.747;0.3168
5.764;0.3194
5.781;0.3236
5.797;0.3243
5.814;0.3247
5.831;0.3295
5.847;0.3312
5.864;0.3309
5.881;0.3306
5.898;0.3304
5.915;0.3302
5.931;0.3296
5.948;0.3301
5.965;0.3299
5.982;0.3298
5.998;0.3293
6.015;0.3248
6.032;0.3107
6.048;0.3107
6.065;0.31
6.082;0.3094
6.099;0.3083
6.115;0.3071
6.132;0.3057
6.149;0.3055
6.166;0.306
6.183;0.3064
6.199;0.3058
6.216;0.3073
6.233;0.3075
6.249;0.3083
6.266;0.3077
6.283;0.3074
6.299;0.3073
6.316;0.3057
6.333;0.3022
6.35;0.2999
6.366;0.2994
6.383;0.2977
6.4;0.2971
6.416;0.2954
6.433;0.2948
6.45;0.2934
6.467;0.2928
6.483;0.2918
6.5;0.2908
6.517;0.2875
6.533;0.2854
6.55;0.284
6.567;0.2828
6.583;0.2812
6.6;0.2792
6.617;0.2806
6.633;0.2818
6.65;0.2822
6.667;0.2832
6.683;0.2841
6.7;0.2856
6.717;0.2875
6.733;0.2884
6.75;0.2899
6.767;0.2914
6.783;0.2931
6.8;0.2943
6.817;0.2954
6.833;0.2947
6.85;0.2915
6.867;0.2903
6.883;0.2878
6.9;0.2866
6.917;0.2839
6.933;0.2811
6.95;0.2785
6.967;0.2738
6.984;0.2703
7.001;0.2676
7.017;0.2649
7.034;0.2647
7.051;0.2655
7.068;0.2667
7.084;0.2655
7.101;0.2636
7.118;0.2615
7.134;0.2631
7.151;0.2633
7.168;0.2631
7.184;0.2636
7.201;0.2657
7.218;0.2675
7.234;0.2701
7.251;0.2716
7.268;0.2731
7.285;0.2744
7.301;0.2753
7.318;0.2761
7.335;0.2787
7.351;0.2793
7.368;0.2795
7.385;0.2772
7.401;0.2784
7.418;0.2792
7.435;0.2777
7.451;0.2766
7.468;0.2761
7.485;0.2739
7.501;0.2725
7.518;0.271
7.535;0.2706
7.551;0.2688
7.568;0.2685
7.585;0.2672
7.601;0.2671
7.618;0.2695
7.635;0.2713
7.651;0.2724
7.668;0.2726
7.685;0.2739
7.701;0.2763
7.718;0.2792
7.735;0.2812
7.752;0.2833
7.769;0.2843
7.786;0.287
7.803;0.2888
7.82;0.287
7.837;0.2842
7.853;0.2841
7.87;0.2831
7.887;0.2814
7.904;0.2798
7.92;0.2776
7.937;0.2771
7.954;0.2753
7.971;0.2715
7.989;0.27
8.005;0.2671
8.022;0.2671
8.039;0.2671
8.056;0.2642
8.073;0.262
8.089;0.2621
8.106;0.2621
8.123;0.2627
8.14;0.2636
8.156;0.2644
8.173;0.2664
8.19;0.2669
8.206;0.2672
8.223;0.2682
8.24;0.2684
8.256;0.266
8.273;0.2648
8.29;0.263
8.307;0.2618
8.323;0.2598
8.34;0.2578
8.357;0.2558
8.374;0.255
8.39;0.254
8.407;0.2509
8.424;0.249
8.441;0.2469
8.458;0.2431
8.475;0.24
8.491;0.2359
8.508;0.2329
8.525;0.2305
8.541;0.2288
8.558;0.2254
8.575;0.2215
8.591;0.2207
8.608;0.2184
8.625;0.22
8.641;0.2199
8.658;0.2209
8.675;0.2204
8.692;0.2221
8.708;0.222
8.725;0.2214
8.742;0.2213
8.759;0.219
8.775;0.2183
8.792;0.2187
8.809;0.2174
8.825;0.2157
8.842;0.2144
8.859;0.2115
8.876;0.2076
8.892;0.2043
8.909;0.2012
8.926;0.1986
8.943;0.1963
8.959;0.1954
8.976;0.1943
8.993;0.1933
9.009;0.1907
9.026;0.1898
9.043;0.1914
9.059;0.1912
9.076;0.1913
9.093;0.1911
9.11;0.1927
9.126;0.1951
9.143;0.1961
9.16;0.1982
9.177;0.2001
9.193;0.2007
9.21;0.1991
9.227;0.1992
9.244;0.2
9.261;0.2011
9.278;0.203
9.294;0.2047
9.311;0.2057
9.328;0.2055
9.344;0.2061
9.361;0.2047
9.378;0.2043
9.395;0.2043
9.412;0.2028
9.429;0.2012
9.445;0.1983
9.462;0.195
9.479;0.1927
9.496;0.1921
9.513;0.191
9.529;0.1912
9.546;0.1925
