Time (s),Temperaturee (°C)
0.0,29.3
0.012,29.3
0.025,29.3
0.037,40.9
0.05,52.0
0.062,59.3
0.075,65.7
0.087,71.2
0.1,75.8
0.112,80.8
0.125,84.6
0.137,88.2
0.15,91.4
0.162,95.2
0.175,98.2
0.187,101.5
0.2,103.9
0.212,106.9
0.225,109.4
0.237,111.9
0.25,113.9
0.262,116.4
0.275,118.7
0.287,120.7
0.3,122.8
0.312,124.9
0.325,126.6
0.337,128.7
0.35,130.4
0.362,132.3
0.375,133.9
0.387,135.9
0.4,139.0
0.412,140.6
0.425,142.2
0.437,143.6
0.45,145.3
0.462,146.8
0.475,148.3
0.487,149.6
0.5,151.2
0.512,152.6
0.525,154.0
0.537,154.9
0.55,156.5
0.562,157.8
0.575,159.2
0.587,160.2
0.6,161.6
0.612,163.0
0.625,164.2
0.637,165.2
0.65,166.8
0.662,167.6
0.675,168.8
0.687,169.9
0.7,170.9
0.712,172.2
0.725,173.2
0.737,174.3
0.75,175.2
0.762,176.5
0.775,177.3
0.787,178.2
0.8,179.6
0.812,180.5
0.825,181.5
0.837,182.4
0.85,183.7
0.862,184.5
0.875,185.1
0.887,186.4
0.9,187.2
0.912,188.1
0.925,189.0
0.937,190.0
0.95,191.0
0.962,191.6
0.975,192.5
0.987,193.5
1.0,194.5
1.012,195.4
1.025,194.6
1.037,186.0
1.05,179.9
1.062,174.8
1.075,170.8
1.087,166.9
1.1,163.9
1.112,161.2
1.125,158.6
1.137,156.1
1.15,153.7
1.162,151.4
1.175,149.7
1.187,147.2
1.2,145.3
1.212,144.0
1.225,142.3
1.237,140.7
1.25,139.2
1.262,137.9
1.275,136.3
1.287,135.1
1.3,133.6
1.312,132.5
1.325,131.4
1.337,130.2
1.35,128.9
1.362,128.1
1.375,126.8
1.387,126.1
1.4,125.0
1.412,124.3
1.425,123.5
1.437,122.6
1.45,121.5
1.462,120.6
1.475,119.9
1.487,119.1
1.5,118.2
1.512,117.3
1.525,116.5
1.537,116.1
1.55,115.6
1.562,114.6
1.575,113.9
1.587,113.3
1.6,112.6
1.612,112.3
1.625,111.2
1.637,110.7
1.65,110.1
1.662,109.8
1.675,109.3
1.687,108.3
1.7,108.0
1.712,107.5
1.725,107.0
1.737,106.7
1.75,105.9
1.762,104.9
1.775,104.4
1.787,103.8
1.8,103.5
1.812,103.1
1.825,102.8
1.837,102.2
1.85,101.5
1.862,101.3
1.875,100.7
1.887,100.0
1.9,99.7
1.912,99.7
1.925,99.1
1.937,98.7
1.95,98.3
1.962,98.1
1.975,97.7
1.987,97.2
2.0,97.2
2.012,96.7
2.025,96.3
2.037,96.0
2.05,95.7
2.062,95.5
2.075,95.0
2.087,94.5
2.1,94.3
2.112,94.3
2.125,94.0
2.137,93.3
2.15,93.1
2.162,92.8
2.175,92.5
2.187,92.3
2.2,91.9
2.212,91.7
2.225,91.4
2.237,91.1
2.25,91.1
2.262,90.5
2.275,90.4
2.287,90.0
2.3,90.1
2.312,89.9
2.325,89.5
2.337,88.9
2.35,88.9
2.362,88.5
2.375,88.4
2.387,88.2
2.4,88.0
2.412,87.7
2.425,87.7
2.437,87.5
2.45,87.1
2.462,87.1
2.475,87.1
2.487,86.2
2.5,86.2
2.512,85.8
2.525,85.9
2.537,85.5
2.55,85.3
2.562,85.3
2.575,85.3
2.587,85.0
2.6,84.7
2.612,84.6
2.625,84.6
2.637,84.1
2.65,83.7
2.662,83.7
2.675,83.6
2.687,83.4
2.7,83.1
2.712,82.7
2.725,82.5
2.737,83.1
2.75,82.3
2.762,82.2
2.775,81.7
2.787,82.0
2.8,81.6
2.812,81.1
2.825,81.1
2.837,78.3
2.85,78.3
2.862,78.0
2.875,78.0
2.887,77.7
2.9,77.7
2.912,77.9
2.925,77.4
2.937,77.4
2.95,77.2
2.962,77.2
2.975,77.0
2.987,76.7
3.0,76.9
3.012,76.4
3.025,76.5
3.037,76.2
3.05,76.1
3.062,76.1
3.075,75.9
3.087,75.8
3.1,75.6
3.112,75.3
3.125,75.2
3.137,75.2
3.15,75.2
3.162,74.9
3.175,75.0
3.187,74.7
3.2,74.9
3.212,74.9
3.225,74.3
3.237,74.0
3.25,74.3
3.262,74.0
3.275,73.7
3.287,73.7
3.3,73.7
3.312,73.4
3.325,73.2
3.337,73.4
3.35,73.2
3.362,73.1
3.375,73.1
3.387,72.8
3.4,72.6
3.412,72.3
3.425,72.4
3.437,72.3
3.45,72.0
3.462,72.1
3.475,71.8
3.487,71.8
3.5,71.7
3.512,71.8
3.525,71.5
3.537,71.8
3.55,71.5
3.562,71.3
3.575,71.2
3.587,71.2
3.6,70.9
3.612,70.7
