Time;Actual Temperature
minutes;\+(o)C
1;19.4
2;19.5
3;20
4;20.7
5;21.8
6;24
7;26.9
8;31.2
9;36.7
10;43
11;49.5
12;55.7
13;61
14;64.7
15;66.9
16;67.6
17;67.2
18;66.4
19;65.6
20;64.6
21;63.8
22;63.5
23;63.8
24;64.9
25;66.7
26;69.3
27;72.4
28;75.9
29;79.7
30;83.4
31;87
32;89.7
33;91.4
34;92.9
35;94.4
36;95.8
37;97.4
38;99.1
39;101
40;103.3
41;105.5
42;107.8
43;109.8
44;112
45;113.9
46;115.7
47;117.3
48;118.9
49;120.5
50;122.4
51;124.4
52;126.6
53;128.6
54;131.1
55;133.6
56;136
57;138.6
58;141.2
59;143.9
60;146.5
61;149
62;151.3
63;153.2
64;154.8
65;155.9
66;155.8
67;154.6
68;153.5
69;152.9
70;153.3
71;154.6
72;157
73;159.6
74;162
75;163.4
76;163.6
77;162.8
78;161.6
79;160.4
80;159.1
81;158.1
82;157.3
83;156.4
84;155.7
85;155
86;154.4
87;153.8
88;153.5
89;153
90;152.8
91;152.6
92;152.9
93;153.1
94;153.8
95;154.3
96;155
97;155.4
98;155.9
99;156.3
100;156.6
101;156.8
102;156.7
103;156.6
104;156.4
105;156.1
106;155.7
107;155.4
108;155.1
109;154.9
110;154.8
111;154.6
112;154.5
113;154.4
114;154.4
115;154.4
116;154.4
117;154.5
118;154.6
119;154.7
120;154.8
121;154.9
122;155
123;155
124;155
125;155.1
126;155.1
127;155.1
128;155.2
129;155.4
130;155.3
131;155.5
132;155.5
133;155.4
134;155.5
135;155.5
136;155.4
137;155.3
138;155.2
139;155.2
140;155.1
141;155.6
142;156.8
143;158.9
144;161.9
145;165.8
146;170.4
147;175.6
148;180.9
149;186.1
150;190.5
151;192
152;191.3
153;189.9
154;188.1
155;186.4
156;184.9
157;183.4
158;182.1
159;181.1
160;180
161;179.2
162;178.3
163;177.7
164;176.9
165;176.3
166;175.7
167;175.1
168;174.6
169;174.6
170;174.4
171;174.6
172;175.1
173;175.6
174;176.4
175;177.2
176;177.8
177;178.3
178;178.7
179;179
180;179.1
181;178.9
182;178.6
183;178.3
184;178
185;177.4
186;177.1
187;176.7
188;176.4
189;176.3
190;176.1
191;176.2
192;176.1
193;176.4
194;176.5
195;176.7
196;176.9
197;177.1
198;177.4
199;177.6
200;177.8
201;177.8
202;178
203;177.8
204;177.8
205;177.5
206;177.5
207;177.4
208;177.3
209;177
210;177
211;176.9
212;176.9
213;176.8
214;176.9
215;176.9
216;176.9
217;176.9
218;176.9
219;176.9
220;177
221;177.1
222;177.2
223;177.3
224;177.4
225;177.3
226;177.5
227;177.5
228;177.7
229;177.6
230;177.6
231;177.5
232;177.5
233;177.4
234;177.3
235;177.3
236;177
237;176.9
238;176.9
239;176.9
240;176.8
241;176.8
242;176.8
243;176.9
244;176.9
245;177
246;177.1
247;177.2
248;177.1
249;177.3
250;177.3
251;177.4
252;177.4
253;177.4
254;177.4
255;177.5
256;177.5
257;177.5
258;177.4
259;177.5
260;177.4
261;177.3
262;177.3
263;177.2
264;177.2
265;177.1
266;177.2
267;177.2
268;177.3
269;177.3
270;177.2
271;177.3
272;177.3
273;177.4
274;177.4
275;177.4
276;177.4
277;177.6
278;177.4
279;177.4
280;177.4
281;177.4
282;177.5
283;177.4
284;177.3
285;177.2
286;177.2
287;177.1
288;177.1
289;177.1
290;177.1
291;177.1
292;177.1
293;177
294;176.9
295;177
296;177.1
297;177.1
298;177.1
299;177
300;177.1
301;177.1
302;177.1
303;177.1
304;177.1
305;177.2
306;177.2
307;177.2
308;177.3
309;177.3
310;177.3
311;177.3
312;177.3
313;177.4
314;177.4
315;177.4
316;177.4
317;177.4
318;177.3
319;177.3
320;177.4
321;177.3
322;177.2
323;177.2
324;177.1
325;177.2
326;177.1
327;177.1
328;177.2
329;177.2
330;177.2
331;177.1
332;177.1
333;177
334;177.1
335;177.1
336;176.9
337;176.6
338;176.3
339;175.8
340;175.3
341;174.9
342;174.6
343;174.2
344;173.9
345;173.5
346;173.2
347;172.9
348;172.6
349;172.3
350;172
351;171.9
352;171.5
353;170.1
354;165.4
355;158.3
356;151.1
357;145
358;139.9
359;135.6
360;131.7
361;127.7
362;123.7
363;119.6
364;115.4
365;111.4
366;107.6
367;103.9
368;100.4
369;97.3
370;94.3
371;91.6
372;89.1
373;86.6
374;84.3
375;82
376;79.7
377;77.6
378;75.7
379;73.7
380;71.9
381;70.2
382;68.6
383;67.3
384;66.1
385;64.9
386;63.8
387;62.9
388;62
389;61.3
390;60.5
391;59.8
392;59.2
393;58.5
394;58
395;57.4
396;57
397;56.5
398;56.2
