Time;Actual Temperature;Heat Flow to Composite
minutes;\+(o)C;W/g
1;0;
2;0;
3;0;
4;0;
5;0;
6;0;
7;0;
8;0;
9;0;
10;0;
11;0;
12;0;
13;0;
14;0;
15;0;
16;0;
17;0;
18;0;
19;0;
20;0;
21;0;
22;0;
23;0;
24;0;
25;0;
26;70.03;-0.03816
26;70.03;-0.03796
26;70.03;-0.03778
26.01;70.03;-0.03752
26.01;70.03;-0.03729
26.01;70.03;-0.03705
26.01;70.03;-0.03682
26.01;70.03;-0.03665
26.01;70.03;-0.03645
26.01;70.03;-0.03616
26.02;70.03;-0.03591
26.02;70.03;-0.03565
26.02;70.03;-0.03535
26.02;70.03;-0.03494
26.02;70.03;-0.03457
26.03;70.03;-0.03425
26.03;70.03;-0.03401
26.03;70.03;-0.03382
26.03;70.03;-0.0336
26.03;70.03;-0.03333
26.03;70.03;-0.0331
26.03;70.03;-0.03284
26.04;70.03;-0.0325
26.04;70.03;-0.03218
26.04;70.03;-0.03185
26.04;70.03;-0.03157
26.04;70.03;-0.03124
26.05;70.03;-0.03092
26.05;70.03;-0.03069
26.05;70.04;-0.03049
26.05;70.04;-0.0302
26.05;70.04;-0.02991
26.05;70.04;-0.02959
26.05;70.04;-0.02929
26.06;70.04;-0.02906
26.06;70.04;-0.02889
26.06;70.04;-0.0287
26.06;70.04;-0.02857
26.06;70.05;-0.02841
26.07;70.05;-0.02823
26.07;70.05;-0.02812
26.07;70.05;-0.02802
26.07;70.05;-0.02786
26.07;70.05;-0.02772
26.07;70.06;-0.0276
26.08;70.06;-0.02749
26.08;70.06;-0.02743
26.08;70.06;-0.02735
26.08;70.06;-0.02732
26.08;70.06;-0.02728
26.08;70.07;-0.02725
26.08;70.07;-0.02722
26.09;70.07;-0.0272
26.09;70.07;-0.0272
26.09;70.07;-0.0272
26.09;70.08;-0.0272
26.09;70.08;-0.02721
26.09;70.08;-0.02722
26.1;70.08;-0.02723
26.1;70.08;-0.02724
26.1;70.09;-0.0274
26.1;70.09;-0.02752
26.1;70.09;-0.02762
26.11;70.09;-0.02772
26.11;70.09;-0.02781
26.11;70.1;-0.02789
26.11;70.1;-0.02797
26.11;70.1;-0.02807
26.11;70.11;-0.02818
26.12;70.11;-0.0283
26.12;70.11;-0.02842
26.12;70.11;-0.02854
26.12;70.12;-0.02865
26.12;70.12;-0.02877
26.12;70.12;-0.0289
26.13;70.12;-0.02904
26.13;70.12;-0.02919
26.13;70.13;-0.02935
26.13;70.13;-0.02952
26.13;70.13;-0.0297
26.13;70.13;-0.02989
26.14;70.14;-0.03006
26.14;70.14;-0.03025
26.14;70.14;-0.03043
26.14;70.14;-0.03062
26.14;70.15;-0.03082
26.14;70.15;-0.03102
26.14;70.15;-0.03124
26.15;70.15;-0.03151
26.15;70.16;-0.03178
26.15;70.16;-0.03209
26.15;70.16;-0.03244
26.15;70.17;-0.03277
26.16;70.17;-0.0331
26.16;70.17;-0.03343
26.16;70.17;-0.03373
26.16;70.18;-0.03399
26.16;70.18;-0.03431
26.16;70.18;-0.03459
26.16;70.18;-0.03481
26.17;70.19;-0.03498
26.17;70.19;-0.03515
26.17;70.19;-0.0353
26.17;70.19;-0.0355
26.17;70.2;-0.03573
26.18;70.2;-0.03598
26.18;70.2;-0.03619
26.18;70.2;-0.03639
26.18;70.21;-0.03658
26.18;70.21;-0.03683
26.18;70.21;-0.03707
26.19;70.21;-0.03725
26.19;70.22;-0.0374
26.19;70.22;-0.03756
26.19;70.22;-0.03775
26.19;70.23;-0.03788
26.19;70.23;-0.03802
26.19;70.23;-0.03817
26.2;70.23;-0.0383
26.2;70.24;-0.03839
26.2;70.24;-0.03849
26.2;70.24;-0.03861
26.2;70.25;-0.03874
26.21;70.25;-0.03886
26.21;70.25;-0.03899
26.21;70.26;-0.03918
26.21;70.26;-0.03937
