Time [s]	Channel 1	Channel 2	Channel 3	Channel 4	Solar 1\t	Solar 2
1.6800000E-1	6.4984054E+1	6.0094486E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1800000E-1	7.2303616E+0	8.7989162E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6900000E-1	7.1915558E+0	8.7617070E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.1900000E-1	7.1827455E+0	8.7501456E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.6900000E-1	7.1955724E+0	8.7531421E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.1900000E-1	7.1921400E+0	8.7442495E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.6900000E-1	7.2057662E+0	8.7260440E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.1900000E-1	7.4702432E+0	8.7270630E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.6900000E-1	7.8986809E+0	8.9465727E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.1900000E-1	8.3499593E+0	9.2558168E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.6900000E-1	8.8256597E+0	9.7234997E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.1900000E-1	9.2915860E+0	1.0184511E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.6900000E-1	9.7824378E+0	1.0648925E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.1900000E-1	1.0292467E+1	1.1125390E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.6900000E-1	1.0812666E+1	1.1637176E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.1900000E-1	1.1347793E+1	1.2128447E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.6900000E-1	1.1879985E+1	1.2653302E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0190000E+0	1.2453245E+1	1.3198389E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0690000E+0	1.3047947E+1	1.3747351E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1190000E+0	1.3635181E+1	1.4281158E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1690000E+0	1.4138896E+1	1.4749613E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2190000E+0	1.4376538E+1	1.4947607E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2690000E+0	1.4081330E+1	1.4657141E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3190000E+0	1.4082172E+1	1.4655099E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3700000E+0	1.4067036E+1	1.4663313E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4210000E+0	1.4057792E+1	1.4643445E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4710000E+0	1.4086659E+1	1.4646817E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5210000E+0	1.4143401E+1	1.4687007E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5710000E+0	1.4133986E+1	1.4690300E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.6210000E+0	1.4117238E+1	1.4693151E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.6720000E+0	1.4166546E+1	1.4714210E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
