Time [s]	Channel 1	Channel 2	Channel 3	Channel 4	Solar 1\t	Solar 2
1.6300000E-1	6.4694179E+1	6.0585743E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1300000E-1	1.3820832E+1	1.3958828E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6300000E-1	1.3781854E+1	1.3931182E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.1300000E-1	1.3795076E+1	1.3958817E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.6300000E-1	1.3785473E+1	1.3958014E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.1300000E-1	1.4288627E+1	1.4226250E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.6300000E-1	1.5217816E+1	1.4954836E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.1300000E-1	1.6151971E+1	1.5765491E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.6300000E-1	1.6905214E+1	1.6486405E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.1300000E-1	1.5992542E+1	1.5573629E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.6300000E-1	1.5788031E+1	1.5325997E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.1300000E-1	1.5832518E+1	1.5371109E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.6300000E-1	1.5764539E+1	1.5330696E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.1300000E-1	1.5738919E+1	1.5310514E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.6300000E-1	1.5788935E+1	1.5311943E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.1300000E-1	1.5799996E+1	1.5328657E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.6400000E-1	1.5779001E+1	1.5315099E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0140000E+0	1.5838069E+1	1.5310932E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0640000E+0	1.5881124E+1	1.5328320E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1140000E+0	1.5856253E+1	1.5316853E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1640000E+0	1.5833474E+1	1.5301512E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2140000E+0	1.5894678E+1	1.5322638E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2640000E+0	1.5864195E+1	1.5320516E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3140000E+0	1.5822485E+1	1.5310173E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3640000E+0	1.5804465E+1	1.5297405E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4140000E+0	1.5856185E+1	1.5325101E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4640000E+0	1.5829337E+1	1.5319340E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
