Time [s]	Channel 1	Channel 2	Channel 3	Channel 4	Solar 1\t	Solar 2
1.5900000E-1	6.3337373E+1	6.1165127E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1000000E-1	1.0625877E+1	1.0740777E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6100000E-1	1.0599727E+1	1.0729510E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.1100000E-1	1.0587695E+1	1.0718547E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.6100000E-1	1.0573545E+1	1.0736628E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.1200000E-1	1.0594271E+1	1.0734240E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.6200000E-1	1.0579904E+1	1.0718854E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.1300000E-1	1.0584653E+1	1.0724392E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.6300000E-1	1.0577875E+1	1.0744417E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.1300000E-1	1.0592019E+1	1.0768210E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.6300000E-1	1.0916289E+1	1.1140371E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.1300000E-1	1.1503487E+1	1.1624377E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.6300000E-1	1.2058220E+1	1.2044186E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.1300000E-1	1.2383596E+1	1.2257896E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.6300000E-1	1.1295811E+1	1.1344750E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.1300000E-1	1.1346098E+1	1.1323443E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.6300000E-1	1.1489263E+1	1.1418450E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0130000E+0	1.1473484E+1	1.1423378E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0630000E+0	1.1411634E+1	1.1400961E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1130000E+0	1.1426519E+1	1.1396792E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1630000E+0	1.1456451E+1	1.1426714E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2130000E+0	1.1405253E+1	1.1421068E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2630000E+0	1.1366048E+1	1.1389670E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3130000E+0	1.1414929E+1	1.1409345E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3630000E+0	1.1430202E+1	1.1442038E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4140000E+0	1.1391638E+1	1.1436699E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4650000E+0	1.1404366E+1	1.1424758E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5150000E+0	1.1458278E+1	1.1454112E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5650000E+0	1.1436699E+1	1.1458219E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.6150000E+0	1.1411172E+1	1.1440310E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.6660000E+0	1.1470348E+1	1.1453509E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.7160000E+0	1.1486441E+1	1.1481306E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.7670000E+0	1.1458576E+1	1.1459196E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.8170000E+0	1.1460579E+1	1.1444218E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.8670000E+0	1.1509805E+1	1.1442142E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.9170000E+0	1.1524557E+1	1.1460732E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.9670000E+0	1.1521848E+1	1.1447404E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.0170000E+0	1.1553259E+1	1.1480207E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.0670000E+0	1.1954613E+1	1.1897496E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1170000E+0	1.2647496E+1	1.2668662E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1670000E+0	1.3414481E+1	1.3744117E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.2170000E+0	1.4315162E+1	1.4767369E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.2670000E+0	1.5328900E+1	1.5816129E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.3170000E+0	1.6358323E+1	1.6745866E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.3680000E+0	1.7376811E+1	1.7345427E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.4190000E+0	1.8376047E+1	1.8258441E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.4690000E+0	1.9395507E+1	1.9209938E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.5190000E+0	2.0465868E+1	2.0222803E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.5690000E+0	2.1564532E+1	2.1277817E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6190000E+0	2.2660033E+1	2.2356359E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6690000E+0	2.3777279E+1	2.3463253E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.7190000E+0	2.4907573E+1	2.4557792E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.7690000E+0	2.5893881E+1	2.5503900E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.8190000E+0	2.6927398E+1	2.6541285E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.8690000E+0	2.8236830E+1	2.7824828E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.9190000E+0	2.9673479E+1	2.9240846E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
