Time [s]	Channel 1	Channel 2	Channel 3	Channel 4	Solar 1\t	Solar 2
1.6300000E-1	6.3242206E+1	6.0522753E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1300000E-1	1.5415521E+1	1.6906536E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6400000E-1	1.5366770E+1	1.6874911E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.1400000E-1	1.5364071E+1	1.6851443E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.6400000E-1	1.5358418E+1	1.6865646E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.1400000E-1	1.5366821E+1	1.6893027E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.6400000E-1	1.5663302E+1	1.7000055E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.1500000E-1	1.6842577E+1	1.7879407E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.6500000E-1	1.8082236E+1	1.9107490E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.1500000E-1	1.9353972E+1	2.0293013E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.6500000E-1	2.0606915E+1	2.1498002E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.1500000E-1	2.1845260E+1	2.2745686E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.6500000E-1	2.2904055E+1	2.3772814E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.1500000E-1	2.2446244E+1	2.3235053E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.6600000E-1	2.2283520E+1	2.3031405E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.1600000E-1	2.2252988E+1	2.3007593E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.6700000E-1	2.2241944E+1	2.2968890E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0180000E+0	2.2314002E+1	2.2989260E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0690000E+0	2.2309724E+1	2.2982384E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1200000E+0	2.2301354E+1	2.2982780E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1700000E+0	2.2316875E+1	2.2981023E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2200000E+0	2.2356146E+1	2.2993115E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2700000E+0	2.2402121E+1	2.2998865E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
