Time [s]	Channel 1	Channel 2	Channel 3	Channel 4	Solar 1\t	Solar 2
1.7200000E-1	6.7459582E+1	6.0235230E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.2200000E-1	8.0750966E+0	8.4708770E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.7200000E-1	8.0792786E+0	8.4505018E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.2200000E-1	8.0781706E+0	8.4545837E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.7200000E-1	8.0840538E+0	8.4563597E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.2200000E-1	8.0791125E+0	8.4827302E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.7200000E-1	8.0781485E+0	8.4830989E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.2200000E-1	8.5216610E+0	8.6377134E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.7300000E-1	9.1780632E+0	9.1190981E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.2400000E-1	9.8864138E+0	9.6470839E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.7500000E-1	1.0589753E+1	1.0273519E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.2600000E-1	1.1149718E+1	1.0825138E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.7600000E-1	1.0570091E+1	1.0222560E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.2600000E-1	1.0378989E+1	9.9940249E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.7600000E-1	1.0439330E+1	1.0052771E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.2700000E-1	1.0344953E+1	1.0013847E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.7800000E-1	1.0331687E+1	1.0001417E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0290000E+0	1.0366168E+1	1.0017780E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0800000E+0	1.0359460E+1	1.0021805E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1310000E+0	1.0326342E+1	1.0007242E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1820000E+0	1.0341747E+1	1.0005513E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2320000E+0	1.0369253E+1	1.0024426E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2820000E+0	1.0359868E+1	1.0022332E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3320000E+0	1.0352990E+1	1.0011560E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3820000E+0	1.0370034E+1	1.0008541E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4320000E+0	1.0395063E+1	1.0025654E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4820000E+0	1.0383149E+1	1.0035160E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5340000E+0	1.0355390E+1	1.0018106E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5850000E+0	1.0371884E+1	1.0026821E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.6350000E+0	1.0352049E+1	1.0028438E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.6850000E+0	1.0341988E+1	1.0028576E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.7360000E+0	1.0350701E+1	1.0030345E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.7860000E+0	1.0370797E+1	1.0031113E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.8360000E+0	1.0369330E+1	1.0028756E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.8860000E+0	1.0364365E+1	1.0034076E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.9360000E+0	1.0363233E+1	1.0040951E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.9860000E+0	1.0440697E+1	1.0120046E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.0360000E+0	1.1071509E+1	1.0771856E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.0860000E+0	1.1979163E+1	1.1693747E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1360000E+0	1.3005269E+1	1.2790179E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
