Time [s]	Channel 1	Channel 2	Channel 3	Channel 4	Solar 1\t	Solar 2
1.5800000E-1	6.2833813E+1	6.0823561E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.0900000E-1	6.9214593E+0	7.2273549E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6000000E-1	6.9426285E+0	7.2306299E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.1000000E-1	6.9490103E+0	7.2434304E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.6000000E-1	6.9401218E+0	7.2269016E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.1000000E-1	6.9350766E+0	7.2299506E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.6000000E-1	6.9306938E+0	7.2265871E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.1100000E-1	6.9364825E+0	7.2372231E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.6100000E-1	7.0038744E+0	7.1995842E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.1100000E-1	7.4042360E+0	7.2135979E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.6100000E-1	7.8822173E+0	7.5411262E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.1100000E-1	8.3817220E+0	7.9290291E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.6100000E-1	8.9034108E+0	8.3438161E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.1100000E-1	9.4490869E+0	8.8546447E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.6200000E-1	1.0083809E+1	9.4955156E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.1200000E-1	1.0790545E+1	1.0134857E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.6300000E-1	1.1560092E+1	1.0834192E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0130000E+0	1.2363174E+1	1.1625192E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0630000E+0	1.3162930E+1	1.2389335E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1130000E+0	1.3573343E+1	1.2678142E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1630000E+0	1.3232645E+1	1.2261644E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2130000E+0	1.3246691E+1	1.2267815E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2630000E+0	1.3252093E+1	1.2241924E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3130000E+0	1.3307406E+1	1.2250743E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3640000E+0	1.3342145E+1	1.2258469E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4150000E+0	1.3333361E+1	1.2254964E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4650000E+0	1.3345975E+1	1.2257333E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5160000E+0	1.3376604E+1	1.2260450E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5660000E+0	1.3395282E+1	1.2271969E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
