Time [s]	Channel 1	Channel 2	Channel 3	Channel 4	Solar 1\t	Solar 2
1.5300000E-1	6.1639982E+1	6.0574469E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.0300000E-1	8.0365215E+0	7.5368118E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.5400000E-1	8.0746521E+0	7.4845937E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.0400000E-1	8.0743719E+0	7.4661216E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.5400000E-1	8.0814328E+0	7.4672887E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.0400000E-1	8.0707155E+0	7.4740362E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.5400000E-1	8.0728439E+0	7.5137299E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.0400000E-1	8.0698320E+0	7.5041464E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.5500000E-1	8.2825509E+0	7.5658093E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.0600000E-1	8.9542988E+0	8.0305726E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.5600000E-1	9.6905007E+0	8.5512804E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.0700000E-1	1.0439006E+1	9.2174585E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.5700000E-1	1.1218194E+1	9.9489590E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.0800000E-1	1.1660882E+1	1.0259641E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.5900000E-1	1.0970758E+1	9.5414177E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.1000000E-1	1.1040637E+1	9.5895892E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.6000000E-1	1.0980663E+1	9.5480295E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0110000E+0	1.0983352E+1	9.5353636E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0610000E+0	1.1027840E+1	9.5422627E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1110000E+0	1.0992521E+1	9.5432949E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1610000E+0	1.0940068E+1	9.5276085E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2110000E+0	1.0958145E+1	9.5171507E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2620000E+0	1.0973202E+1	9.5238111E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3130000E+0	1.0956372E+1	9.5203979E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3630000E+0	1.0955209E+1	9.5198888E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4130000E+0	1.0979147E+1	9.5150675E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4630000E+0	1.1024446E+1	9.5308636E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5130000E+0	1.1017064E+1	9.5276160E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5630000E+0	1.1016138E+1	9.5247226E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.6130000E+0	1.1015885E+1	9.5194862E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.6630000E+0	1.1024059E+1	9.5170767E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.7130000E+0	1.1009213E+1	9.5268404E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.7630000E+0	1.0997188E+1	9.5194522E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.8140000E+0	1.1010769E+1	9.5221904E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.8640000E+0	1.1006435E+1	9.5247372E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.9150000E+0	1.1008313E+1	9.5291707E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.9660000E+0	1.1024703E+1	9.5582415E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.0160000E+0	1.1538405E+1	1.0105251E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.0670000E+0	1.2535740E+1	1.1129679E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1180000E+0	1.3736599E+1	1.2623250E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1680000E+0	1.6010785E+1	1.5390012E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.2190000E+0	1.8724639E+1	1.8082914E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.2690000E+0	2.0647512E+1	1.9551238E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.3190000E+0	2.2360603E+1	2.1071931E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.3700000E+0	2.4016029E+1	2.2672075E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.4210000E+0	2.5696153E+1	2.4288149E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.4710000E+0	2.7399056E+1	2.5865126E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.5210000E+0	2.8990885E+1	2.7398309E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.5710000E+0	2.9682509E+1	2.8049651E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6210000E+0	2.9750611E+1	2.8120058E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6710000E+0	3.0660085E+1	2.9037982E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.7210000E+0	3.2321023E+1	3.0710834E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.7710000E+0	3.4324690E+1	3.2694834E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.8210000E+0	3.6327090E+1	3.4670181E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.8710000E+0	3.7912863E+1	3.6267199E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.9210000E+0	3.8614759E+1	3.6967707E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.9720000E+0	3.8985790E+1	3.7323653E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.0220000E+0	3.9269742E+1	3.7600769E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.0720000E+0	3.9444582E+1	3.7794949E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.1220000E+0	3.9584296E+1	3.7940227E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.1720000E+0	3.9688057E+1	3.8042815E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.2220000E+0	3.9808793E+1	3.8177813E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.2720000E+0	4.0144376E+1	3.8520347E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.3220000E+0	4.0974503E+1	3.9343286E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.3720000E+0	4.2274729E+1	4.0612540E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.4230000E+0	4.3652359E+1	4.1969920E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.4740000E+0	4.5055924E+1	4.3351479E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.5240000E+0	4.6448920E+1	4.4712796E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.5750000E+0	4.7719567E+1	4.5958938E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.6260000E+0	4.8721773E+1	4.6939028E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.6760000E+0	4.9354150E+1	4.7554996E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.7270000E+0	4.9762620E+1	4.7948520E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.7770000E+0	5.0021549E+1	4.8209556E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.8280000E+0	5.0219666E+1	4.8428087E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.8780000E+0	5.0370021E+1	4.8593005E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.9280000E+0	5.0471131E+1	4.8713105E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.9790000E+0	5.0568630E+1	4.8823697E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.0290000E+0	5.0651360E+1	4.8921522E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.0790000E+0	5.0832765E+1	4.9110655E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.1290000E+0	5.1242895E+1	4.9518984E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.1790000E+0	5.2012619E+1	5.0286709E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.2300000E+0	5.3025440E+1	5.1296238E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.2800000E+0	5.4201442E+1	5.2477293E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.3300000E+0	5.5463118E+1	5.3732013E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.3800000E+0	5.6688232E+1	5.4951834E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.4310000E+0	5.7798144E+1	5.6063863E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.4820000E+0	5.8856317E+1	5.7106181E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.5320000E+0	5.9835830E+1	5.8065830E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.5830000E+0	6.0634166E+1	5.8862091E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.6330000E+0	6.1314922E+1	5.9546700E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.6830000E+0	6.1908959E+1	6.0146854E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.7340000E+0	6.2401424E+1	6.0634078E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.7840000E+0	6.2834881E+1	6.1067349E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.8340000E+0	6.3187887E+1	6.1428743E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.8840000E+0	6.3549730E+1	6.1775268E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.9350000E+0	6.3885447E+1	6.2102687E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.9860000E+0	6.4175901E+1	6.2418768E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.0360000E+0	6.4468532E+1	6.2700519E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.0860000E+0	6.4721973E+1	6.2968853E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.1370000E+0	6.4930045E+1	6.3182918E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.1870000E+0	6.5138773E+1	6.3402175E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.2370000E+0	6.5324325E+1	6.3600228E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.2870000E+0	6.5505918E+1	6.3794605E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.3370000E+0	6.5692826E+1	6.3986868E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.3870000E+0	6.5859357E+1	6.4164600E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.4380000E+0	6.6016138E+1	6.4332351E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.4880000E+0	6.6178278E+1	6.4499491E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.5380000E+0	6.6319880E+1	6.4652756E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.5880000E+0	6.6463700E+1	6.4800986E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.6380000E+0	6.6568081E+1	6.4926312E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.6890000E+0	6.6668581E+1	6.5053277E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.7390000E+0	6.6736625E+1	6.5131919E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.7900000E+0	6.6827273E+1	6.5223656E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.8410000E+0	6.6904755E+1	6.5302410E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.8910000E+0	6.6974124E+1	6.5360789E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.9410000E+0	6.7051982E+1	6.5424462E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.9910000E+0	6.7104563E+1	6.5460816E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.0420000E+0	6.7167071E+1	6.5499288E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.0920000E+0	6.7232895E+1	6.5542946E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.1420000E+0	6.7300034E+1	6.5588015E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
