Time [s]	Channel 1	Channel 2	Channel 3	Channel 4	Solar 1\t	Solar 2
1.7200000E-1	6.1685135E+1	6.0511166E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.2200000E-1	9.0295296E+0	8.5597428E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.7200000E-1	8.9821470E+0	8.5434083E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.2200000E-1	8.9767977E+0	8.5423031E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.7200000E-1	8.9702189E+0	8.5408497E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.2200000E-1	8.9700075E+0	8.5418281E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.7200000E-1	8.9838724E+0	8.5439127E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.2300000E-1	8.9804996E+0	8.5408940E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.7300000E-1	9.0171147E+0	8.5951129E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.2300000E-1	9.5135679E+0	9.0358067E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.7300000E-1	1.0201686E+1	9.6264960E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.2300000E-1	1.0878446E+1	1.0314810E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.7400000E-1	1.1545277E+1	1.0905132E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.2400000E-1	1.1937770E+1	1.1157989E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.7400000E-1	1.0725898E+1	1.0017229E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.2400000E-1	1.0464472E+1	9.7603830E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.7400000E-1	1.0592752E+1	9.8249022E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0250000E+0	1.0593348E+1	9.8464733E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
