Time [s]	Channel 1	Channel 2	Channel 3	Channel 4	Solar 1\t	Solar 2
1.6100000E-1	6.7687348E+1	6.1080133E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1100000E-1	1.0146701E+1	1.1727142E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6100000E-1	1.0152073E+1	1.1669219E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.1200000E-1	1.0152439E+1	1.1652232E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.6300000E-1	1.0152191E+1	1.1669788E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.1300000E-1	1.0153479E+1	1.1667280E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.6300000E-1	1.0314880E+1	1.1686355E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.1300000E-1	1.1245244E+1	1.2268829E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.6300000E-1	1.2247637E+1	1.3115337E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.1300000E-1	1.3235847E+1	1.4037087E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.6300000E-1	1.4223347E+1	1.5055216E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.1300000E-1	1.5210797E+1	1.6020901E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.6300000E-1	1.6246046E+1	1.6980046E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.1300000E-1	1.7170613E+1	1.7866433E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.6300000E-1	1.7393156E+1	1.8031004E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.1300000E-1	1.7145755E+1	1.7707205E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.6300000E-1	1.7188775E+1	1.7716458E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0130000E+0	1.7140157E+1	1.7703511E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0630000E+0	1.7114907E+1	1.7672252E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1130000E+0	1.7172940E+1	1.7689606E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1630000E+0	1.7150601E+1	1.7687888E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2130000E+0	1.7125528E+1	1.7690308E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2630000E+0	1.7149311E+1	1.7675090E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
