Time [s]	Channel 1	Channel 2	Channel 3	Channel 4	Solar 1\t	Solar 2
1.7100000E-1	6.2288038E+1	6.0951227E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.2100000E-1	8.6311209E+0	8.5981065E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.7100000E-1	8.6303234E+0	8.6143240E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.2100000E-1	8.6350120E+0	8.6153989E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.7100000E-1	8.6378924E+0	8.6056993E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.2100000E-1	8.6343095E+0	8.6340946E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.7100000E-1	8.6337402E+0	8.6468492E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.2100000E-1	8.6453945E+0	8.6504481E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.7100000E-1	9.2291823E+0	9.2280497E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.2100000E-1	1.0137758E+1	1.0029030E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.7100000E-1	1.0969429E+1	1.0846660E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.2200000E-1	1.1156496E+1	1.0894812E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.7300000E-1	9.6200178E+0	9.4550947E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.2400000E-1	9.8434883E+0	9.6578660E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.7400000E-1	9.7783569E+0	9.5758309E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.2400000E-1	9.8506426E+0	9.5815934E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.7400000E-1	9.8586500E+0	9.5905451E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0250000E+0	9.8027816E+0	9.5637551E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0750000E+0	9.8173544E+0	9.5566651E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1250000E+0	9.8631475E+0	9.5751661E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1750000E+0	9.8309532E+0	9.5700043E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2250000E+0	9.7823624E+0	9.5520691E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2750000E+0	9.8161006E+0	9.5385169E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3250000E+0	9.8294173E+0	9.5508552E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3750000E+0	9.7984366E+0	9.5497200E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4260000E+0	9.7840232E+0	9.5217912E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4760000E+0	9.8575480E+0	9.5406914E+0	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
