Time [s]	Channel 1	Channel 2	Channel 3	Channel 4	Solar 1\t	Solar 2
1.6400000E-1	6.7164289E+1	6.0797625E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1500000E-1	1.2486223E+1	1.3784394E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6500000E-1	1.2491074E+1	1.3722984E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.1500000E-1	1.2500290E+1	1.3710974E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.6600000E-1	1.2495403E+1	1.3739144E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.1600000E-1	1.2496923E+1	1.3726530E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.6600000E-1	1.2599025E+1	1.3727047E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.1600000E-1	1.3744235E+1	1.4384781E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.6700000E-1	1.5115016E+1	1.5623052E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.1800000E-1	1.6482096E+1	1.6900133E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.6900000E-1	1.7817905E+1	1.8274787E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.2000000E-1	1.9095085E+1	1.9520397E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.7000000E-1	1.9895846E+1	2.0219991E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.2000000E-1	1.9550285E+1	1.9849770E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.7000000E-1	1.9418640E+1	1.9729206E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.2000000E-1	1.9438147E+1	1.9693768E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.7100000E-1	1.9496363E+1	1.9700992E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0210000E+0	1.9480662E+1	1.9705863E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0710000E+0	1.9464496E+1	1.9683887E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1210000E+0	1.9549592E+1	1.9704832E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1710000E+0	1.9569160E+1	1.9724363E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2210000E+0	1.9543135E+1	1.9715427E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2710000E+0	1.9602548E+1	1.9721559E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3210000E+0	1.9695418E+1	1.9747904E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3710000E+0	1.9700834E+1	1.9748264E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4210000E+0	1.9741048E+1	1.9764374E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4710000E+0	1.9808347E+1	1.9771095E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5210000E+0	1.9869479E+1	1.9797283E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5710000E+0	1.9858105E+1	1.9785483E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.6210000E+0	1.9882627E+1	1.9808976E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.6710000E+0	1.9913240E+1	1.9813845E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.7210000E+0	1.9959325E+1	1.9832773E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.7710000E+0	1.9945903E+1	1.9839166E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.8220000E+0	2.0056000E+1	1.9933672E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.8720000E+0	2.1295141E+1	2.1155889E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.9220000E+0	2.3236142E+1	2.3084610E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.9720000E+0	2.5300107E+1	2.5157483E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.0220000E+0	2.7430341E+1	2.7280994E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.0720000E+0	2.9615986E+1	2.9451434E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1230000E+0	3.1740884E+1	3.1565497E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1730000E+0	3.3747293E+1	3.3564623E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.2230000E+0	3.5389029E+1	3.5178465E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.2730000E+0	3.5947169E+1	3.5724726E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.3230000E+0	3.5990868E+1	3.5763204E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.3730000E+0	3.6118302E+1	3.5906361E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.4230000E+0	3.6222492E+1	3.6007630E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.4730000E+0	3.6300428E+1	3.6078421E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.5230000E+0	3.6491902E+1	3.6258786E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.5730000E+0	3.7357671E+1	3.7113174E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6230000E+0	3.9094200E+1	3.8836129E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.6730000E+0	4.1289731E+1	4.1053122E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.7230000E+0	4.3598524E+1	4.3334647E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.7740000E+0	4.5692162E+1	4.5413592E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.8240000E+0	4.7129354E+1	4.6825125E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.8740000E+0	4.7733828E+1	4.7441734E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.9240000E+0	4.8045870E+1	4.7730771E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.9740000E+0	4.8294736E+1	4.7950668E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.0240000E+0	4.8463039E+1	4.8121675E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.0740000E+0	4.8581512E+1	4.8222924E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.1240000E+0	4.8660805E+1	4.8313246E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.1740000E+0	4.8742153E+1	4.8379682E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.2240000E+0	4.8896663E+1	4.8522983E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.2740000E+0	4.9231873E+1	4.8854473E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.3250000E+0	4.9846642E+1	4.9464751E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.3750000E+0	5.0682408E+1	5.0289415E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.4250000E+0	5.1719727E+1	5.1320992E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.4750000E+0	5.2768249E+1	5.2369735E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.5250000E+0	5.3763565E+1	5.3375516E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.5750000E+0	5.4633157E+1	5.4233527E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.6250000E+0	5.5346723E+1	5.4937929E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.6750000E+0	5.5869443E+1	5.5454689E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.7250000E+0	5.6234803E+1	5.5805785E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.7760000E+0	5.6473661E+1	5.6057036E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
